,sexo,sector_del_nivel_de_formación_alcanzado,edad,periodo,total
105,Ambos sexos,Educación,De 35 a 44 años,2022,330.9
106,Ambos sexos,Educación,De 35 a 44 años,2021,339.9
107,Ambos sexos,Educación,De 35 a 44 años,2020,314.4
108,Ambos sexos,Educación,De 35 a 44 años,2019,327.8
109,Ambos sexos,Educación,De 35 a 44 años,2018,331.8
110,Ambos sexos,Educación,De 35 a 44 años,2017,325.2
111,Ambos sexos,Educación,De 35 a 44 años,2016,300.2
112,Ambos sexos,Educación,De 45 a 54 años,2022,281.1
113,Ambos sexos,Educación,De 45 a 54 años,2021,254.0
114,Ambos sexos,Educación,De 45 a 54 años,2020,250.8
115,Ambos sexos,Educación,De 45 a 54 años,2019,270.7
116,Ambos sexos,Educación,De 45 a 54 años,2018,219.3
117,Ambos sexos,Educación,De 45 a 54 años,2017,233.2
118,Ambos sexos,Educación,De 45 a 54 años,2016,225.8
119,Ambos sexos,Educación,55 y más años,2022,539.9
120,Ambos sexos,Educación,55 y más años,2021,528.1
121,Ambos sexos,Educación,55 y más años,2020,488.4
122,Ambos sexos,Educación,55 y más años,2019,500.3
123,Ambos sexos,Educación,55 y más años,2018,407.5
124,Ambos sexos,Educación,55 y más años,2017,405.0
125,Ambos sexos,Educación,55 y más años,2016,402.4
126,Ambos sexos,Artes  humanidades y lenguas,Total,2022,1168.6
127,Ambos sexos,Artes  humanidades y lenguas,Total,2021,1158.9
128,Ambos sexos,Artes  humanidades y lenguas,Total,2020,1162.9
129,Ambos sexos,Artes  humanidades y lenguas,Total,2019,1110.9
130,Ambos sexos,Artes  humanidades y lenguas,Total,2018,1067.9
131,Ambos sexos,Artes  humanidades y lenguas,Total,2017,1096.3
132,Ambos sexos,Artes  humanidades y lenguas,Total,2016,1018.8
133,Ambos sexos,Artes  humanidades y lenguas,De 16 a 24 años,2022,68.5
134,Ambos sexos,Artes  humanidades y lenguas,De 16 a 24 años,2021,72.0
135,Ambos sexos,Artes  humanidades y lenguas,De 16 a 24 años,2020,68.5
136,Ambos sexos,Artes  humanidades y lenguas,De 16 a 24 años,2019,67.8
137,Ambos sexos,Artes  humanidades y lenguas,De 16 a 24 años,2018,58.5
138,Ambos sexos,Artes  humanidades y lenguas,De 16 a 24 años,2017,56.2
139,Ambos sexos,Artes  humanidades y lenguas,De 16 a 24 años,2016,55.4
140,Ambos sexos,Artes  humanidades y lenguas,De 25 a 34 años,2022,223.0
141,Ambos sexos,Artes  humanidades y lenguas,De 25 a 34 años,2021,214.4
142,Ambos sexos,Artes  humanidades y lenguas,De 25 a 34 años,2020,209.2
143,Ambos sexos,Artes  humanidades y lenguas,De 25 a 34 años,2019,211.4
144,Ambos sexos,Artes  humanidades y lenguas,De 25 a 34 años,2018,224.2
145,Ambos sexos,Artes  humanidades y lenguas,De 25 a 34 años,2017,195.5
146,Ambos sexos,Artes  humanidades y lenguas,De 25 a 34 años,2016,180.6
147,Ambos sexos,Artes  humanidades y lenguas,De 35 a 44 años,2022,241.7
148,Ambos sexos,Artes  humanidades y lenguas,De 35 a 44 años,2021,226.9
149,Ambos sexos,Artes  humanidades y lenguas,De 35 a 44 años,2020,276.8
150,Ambos sexos,Artes  humanidades y lenguas,De 35 a 44 años,2019,271.7
151,Ambos sexos,Artes  humanidades y lenguas,De 35 a 44 años,2018,259.2
152,Ambos sexos,Artes  humanidades y lenguas,De 35 a 44 años,2017,276.9
153,Ambos sexos,Artes  humanidades y lenguas,De 35 a 44 años,2016,287.5
154,Ambos sexos,Artes  humanidades y lenguas,De 45 a 54 años,2022,239.0
155,Ambos sexos,Artes  humanidades y lenguas,De 45 a 54 años,2021,259.7
156,Ambos sexos,Artes  humanidades y lenguas,De 45 a 54 años,2020,241.3
157,Ambos sexos,Artes  humanidades y lenguas,De 45 a 54 años,2019,239.9
158,Ambos sexos,Artes  humanidades y lenguas,De 45 a 54 años,2018,222.4
159,Ambos sexos,Artes  humanidades y lenguas,De 45 a 54 años,2017,266.3
160,Ambos sexos,Artes  humanidades y lenguas,De 45 a 54 años,2016,245.3
161,Ambos sexos,Artes  humanidades y lenguas,55 y más años,2022,396.4
162,Ambos sexos,Artes  humanidades y lenguas,55 y más años,2021,385.9
163,Ambos sexos,Artes  humanidades y lenguas,55 y más años,2020,366.9
164,Ambos sexos,Artes  humanidades y lenguas,55 y más años,2019,320.1
165,Ambos sexos,Artes  humanidades y lenguas,55 y más años,2018,303.6
166,Ambos sexos,Artes  humanidades y lenguas,55 y más años,2017,301.4
167,Ambos sexos,Artes  humanidades y lenguas,55 y más años,2016,250.0
168,Ambos sexos,Ciencias sociales  periodismo y documentación,Total,2022,744.0
169,Ambos sexos,Ciencias sociales  periodismo y documentación,Total,2021,678.2
170,Ambos sexos,Ciencias sociales  periodismo y documentación,Total,2020,650.4
171,Ambos sexos,Ciencias sociales  periodismo y documentación,Total,2019,638.4
172,Ambos sexos,Ciencias sociales  periodismo y documentación,Total,2018,617.4
173,Ambos sexos,Ciencias sociales  periodismo y documentación,Total,2017,631.3
174,Ambos sexos,Ciencias sociales  periodismo y documentación,Total,2016,616.8
175,Ambos sexos,Ciencias sociales  periodismo y documentación,De 16 a 24 años,2022,42.8
176,Ambos sexos,Ciencias sociales  periodismo y documentación,De 16 a 24 años,2021,36.3
177,Ambos sexos,Ciencias sociales  periodismo y documentación,De 16 a 24 años,2020,28.9
178,Ambos sexos,Ciencias sociales  periodismo y documentación,De 16 a 24 años,2019,32.2
179,Ambos sexos,Ciencias sociales  periodismo y documentación,De 16 a 24 años,2018,30.8
180,Ambos sexos,Ciencias sociales  periodismo y documentación,De 16 a 24 años,2017,33.3
181,Ambos sexos,Ciencias sociales  periodismo y documentación,De 16 a 24 años,2016,44.9
182,Ambos sexos,Ciencias sociales  periodismo y documentación,De 25 a 34 años,2022,144.0
183,Ambos sexos,Ciencias sociales  periodismo y documentación,De 25 a 34 años,2021,137.2
184,Ambos sexos,Ciencias sociales  periodismo y documentación,De 25 a 34 años,2020,133.8
185,Ambos sexos,Ciencias sociales  periodismo y documentación,De 25 a 34 años,2019,132.6
186,Ambos sexos,Ciencias sociales  periodismo y documentación,De 25 a 34 años,2018,141.9
187,Ambos sexos,Ciencias sociales  periodismo y documentación,De 25 a 34 años,2017,134.0
188,Ambos sexos,Ciencias sociales  periodismo y documentación,De 25 a 34 años,2016,153.2
189,Ambos sexos,Ciencias sociales  periodismo y documentación,De 35 a 44 años,2022,174.3
190,Ambos sexos,Ciencias sociales  periodismo y documentación,De 35 a 44 años,2021,180.1
191,Ambos sexos,Ciencias sociales  periodismo y documentación,De 35 a 44 años,2020,184.2
192,Ambos sexos,Ciencias sociales  periodismo y documentación,De 35 a 44 años,2019,189.7
193,Ambos sexos,Ciencias sociales  periodismo y documentación,De 35 a 44 años,2018,169.7
194,Ambos sexos,Ciencias sociales  periodismo y documentación,De 35 a 44 años,2017,197.5
195,Ambos sexos,Ciencias sociales  periodismo y documentación,De 35 a 44 años,2016,180.6
196,Ambos sexos,Ciencias sociales  periodismo y documentación,De 45 a 54 años,2022,179.7
197,Ambos sexos,Ciencias sociales  periodismo y documentación,De 45 a 54 años,2021,160.8
198,Ambos sexos,Ciencias sociales  periodismo y documentación,De 45 a 54 años,2020,138.3
199,Ambos sexos,Ciencias sociales  periodismo y documentación,De 45 a 54 años,2019,153.4
200,Ambos sexos,Ciencias sociales  periodismo y documentación,De 45 a 54 años,2018,150.2
201,Ambos sexos,Ciencias sociales  periodismo y documentación,De 45 a 54 años,2017,148.0
202,Ambos sexos,Ciencias sociales  periodismo y documentación,De 45 a 54 años,2016,134.9
203,Ambos sexos,Ciencias sociales  periodismo y documentación,55 y más años,2022,203.1
204,Ambos sexos,Ciencias sociales  periodismo y documentación,55 y más años,2021,163.9
205,Ambos sexos,Ciencias sociales  periodismo y documentación,55 y más años,2020,165.2
206,Ambos sexos,Ciencias sociales  periodismo y documentación,55 y más años,2019,130.4
207,Ambos sexos,Ciencias sociales  periodismo y documentación,55 y más años,2018,124.8
208,Ambos sexos,Ciencias sociales  periodismo y documentación,55 y más años,2017,118.5
209,Ambos sexos,Ciencias sociales  periodismo y documentación,55 y más años,2016,103.3
210,Ambos sexos,Negocios  administración y derecho,Total,2022,4292.3
211,Ambos sexos,Negocios  administración y derecho,Total,2021,4371.8
212,Ambos sexos,Negocios  administración y derecho,Total,2020,4094.6
213,Ambos sexos,Negocios  administración y derecho,Total,2019,3821.0
214,Ambos sexos,Negocios  administración y derecho,Total,2018,3849.1
215,Ambos sexos,Negocios  administración y derecho,Total,2017,3833.0
216,Ambos sexos,Negocios  administración y derecho,Total,2016,3564.4
217,Ambos sexos,Negocios  administración y derecho,De 16 a 24 años,2022,212.7
218,Ambos sexos,Negocios  administración y derecho,De 16 a 24 años,2021,219.5
219,Ambos sexos,Negocios  administración y derecho,De 16 a 24 años,2020,198.2
220,Ambos sexos,Negocios  administración y derecho,De 16 a 24 años,2019,159.6
221,Ambos sexos,Negocios  administración y derecho,De 16 a 24 años,2018,168.5
222,Ambos sexos,Negocios  administración y derecho,De 16 a 24 años,2017,184.6
223,Ambos sexos,Negocios  administración y derecho,De 16 a 24 años,2016,180.5
224,Ambos sexos,Negocios  administración y derecho,De 25 a 34 años,2022,698.0
225,Ambos sexos,Negocios  administración y derecho,De 25 a 34 años,2021,779.2
226,Ambos sexos,Negocios  administración y derecho,De 25 a 34 años,2020,742.2
227,Ambos sexos,Negocios  administración y derecho,De 25 a 34 años,2019,718.0
228,Ambos sexos,Negocios  administración y derecho,De 25 a 34 años,2018,730.0
229,Ambos sexos,Negocios  administración y derecho,De 25 a 34 años,2017,716.8
230,Ambos sexos,Negocios  administración y derecho,De 25 a 34 años,2016,693.2
231,Ambos sexos,Negocios  administración y derecho,De 35 a 44 años,2022,982.3
232,Ambos sexos,Negocios  administración y derecho,De 35 a 44 años,2021,1069.7
233,Ambos sexos,Negocios  administración y derecho,De 35 a 44 años,2020,1070.3
234,Ambos sexos,Negocios  administración y derecho,De 35 a 44 años,2019,1072.8
235,Ambos sexos,Negocios  administración y derecho,De 35 a 44 años,2018,1181.6
236,Ambos sexos,Negocios  administración y derecho,De 35 a 44 años,2017,1210.2
237,Ambos sexos,Negocios  administración y derecho,De 35 a 44 años,2016,1203.3
238,Ambos sexos,Negocios  administración y derecho,De 45 a 54 años,2022,1252.3
239,Ambos sexos,Negocios  administración y derecho,De 45 a 54 años,2021,1202.7
240,Ambos sexos,Negocios  administración y derecho,De 45 a 54 años,2020,1150.1
241,Ambos sexos,Negocios  administración y derecho,De 45 a 54 años,2019,1044.8
242,Ambos sexos,Negocios  administración y derecho,De 45 a 54 años,2018,1005.0
243,Ambos sexos,Negocios  administración y derecho,De 45 a 54 años,2017,970.3
244,Ambos sexos,Negocios  administración y derecho,De 45 a 54 años,2016,895.1
245,Ambos sexos,Negocios  administración y derecho,55 y más años,2022,1147.0
246,Ambos sexos,Negocios  administración y derecho,55 y más años,2021,1100.8
247,Ambos sexos,Negocios  administración y derecho,55 y más años,2020,933.7
248,Ambos sexos,Negocios  administración y derecho,55 y más años,2019,825.8
249,Ambos sexos,Negocios  administración y derecho,55 y más años,2018,764.1
250,Ambos sexos,Negocios  administración y derecho,55 y más años,2017,751.2
251,Ambos sexos,Negocios  administración y derecho,55 y más años,2016,592.3
252,Ambos sexos,Ciencias naturales  químicas  físicas y matemáticas,Total,2022,786.2
253,Ambos sexos,Ciencias naturales  químicas  físicas y matemáticas,Total,2021,797.4
254,Ambos sexos,Ciencias naturales  químicas  físicas y matemáticas,Total,2020,778.3
255,Ambos sexos,Ciencias naturales  químicas  físicas y matemáticas,Total,2019,746.4
256,Ambos sexos,Ciencias naturales  químicas  físicas y matemáticas,Total,2018,777.9
257,Ambos sexos,Ciencias naturales  químicas  físicas y matemáticas,Total,2017,718.3
258,Ambos sexos,Ciencias naturales  químicas  físicas y matemáticas,Total,2016,693.7
259,Ambos sexos,Ciencias naturales  químicas  físicas y matemáticas,De 16 a 24 años,2022,52.4
260,Ambos sexos,Ciencias naturales  químicas  físicas y matemáticas,De 16 a 24 años,2021,45.7
261,Ambos sexos,Ciencias naturales  químicas  físicas y matemáticas,De 16 a 24 años,2020,50.4
262,Ambos sexos,Ciencias naturales  químicas  físicas y matemáticas,De 16 a 24 años,2019,40.0
263,Ambos sexos,Ciencias naturales  químicas  físicas y matemáticas,De 16 a 24 años,2018,34.0
264,Ambos sexos,Ciencias naturales  químicas  físicas y matemáticas,De 16 a 24 años,2017,36.1
265,Ambos sexos,Ciencias naturales  químicas  físicas y matemáticas,De 16 a 24 años,2016,34.1
266,Ambos sexos,Ciencias naturales  químicas  físicas y matemáticas,De 25 a 34 años,2022,152.5
267,Ambos sexos,Ciencias naturales  químicas  físicas y matemáticas,De 25 a 34 años,2021,154.8
268,Ambos sexos,Ciencias naturales  químicas  físicas y matemáticas,De 25 a 34 años,2020,127.0
269,Ambos sexos,Ciencias naturales  químicas  físicas y matemáticas,De 25 a 34 años,2019,145.6
270,Ambos sexos,Ciencias naturales  químicas  físicas y matemáticas,De 25 a 34 años,2018,159.8
271,Ambos sexos,Ciencias naturales  químicas  físicas y matemáticas,De 25 a 34 años,2017,133.3
272,Ambos sexos,Ciencias naturales  químicas  físicas y matemáticas,De 25 a 34 años,2016,161.7
273,Ambos sexos,Ciencias naturales  químicas  físicas y matemáticas,De 35 a 44 años,2022,183.5
274,Ambos sexos,Ciencias naturales  químicas  físicas y matemáticas,De 35 a 44 años,2021,201.8
275,Ambos sexos,Ciencias naturales  químicas  físicas y matemáticas,De 35 a 44 años,2020,209.9
276,Ambos sexos,Ciencias naturales  químicas  físicas y matemáticas,De 35 a 44 años,2019,234.0
277,Ambos sexos,Ciencias naturales  químicas  físicas y matemáticas,De 35 a 44 años,2018,238.2
278,Ambos sexos,Ciencias naturales  químicas  físicas y matemáticas,De 35 a 44 años,2017,239.9
279,Ambos sexos,Ciencias naturales  químicas  físicas y matemáticas,De 35 a 44 años,2016,226.4
280,Ambos sexos,Ciencias naturales  químicas  físicas y matemáticas,De 45 a 54 años,2022,181.4
281,Ambos sexos,Ciencias naturales  químicas  físicas y matemáticas,De 45 a 54 años,2021,181.8
282,Ambos sexos,Ciencias naturales  químicas  físicas y matemáticas,De 45 a 54 años,2020,166.8
283,Ambos sexos,Ciencias naturales  químicas  físicas y matemáticas,De 45 a 54 años,2019,154.2
284,Ambos sexos,Ciencias naturales  químicas  físicas y matemáticas,De 45 a 54 años,2018,166.4
285,Ambos sexos,Ciencias naturales  químicas  físicas y matemáticas,De 45 a 54 años,2017,141.9
286,Ambos sexos,Ciencias naturales  químicas  físicas y matemáticas,De 45 a 54 años,2016,135.9
287,Ambos sexos,Ciencias naturales  químicas  físicas y matemáticas,55 y más años,2022,216.5
288,Ambos sexos,Ciencias naturales  químicas  físicas y matemáticas,55 y más años,2021,213.4
289,Ambos sexos,Ciencias naturales  químicas  físicas y matemáticas,55 y más años,2020,224.2
290,Ambos sexos,Ciencias naturales  químicas  físicas y matemáticas,55 y más años,2019,172.5
291,Ambos sexos,Ciencias naturales  químicas  físicas y matemáticas,55 y más años,2018,179.5
292,Ambos sexos,Ciencias naturales  químicas  físicas y matemáticas,55 y más años,2017,167.1
293,Ambos sexos,Ciencias naturales  químicas  físicas y matemáticas,55 y más años,2016,135.7
294,Ambos sexos,Tecnologías de la información y las comunicaciones (TIC),Total,2022,959.1
295,Ambos sexos,Tecnologías de la información y las comunicaciones (TIC),Total,2021,876.6
296,Ambos sexos,Tecnologías de la información y las comunicaciones (TIC),Total,2020,859.1
297,Ambos sexos,Tecnologías de la información y las comunicaciones (TIC),Total,2019,826.0
298,Ambos sexos,Tecnologías de la información y las comunicaciones (TIC),Total,2018,789.2
299,Ambos sexos,Tecnologías de la información y las comunicaciones (TIC),Total,2017,717.1
300,Ambos sexos,Tecnologías de la información y las comunicaciones (TIC),Total,2016,705.5
301,Ambos sexos,Tecnologías de la información y las comunicaciones (TIC),De 16 a 24 años,2022,116.0
302,Ambos sexos,Tecnologías de la información y las comunicaciones (TIC),De 16 a 24 años,2021,102.7
303,Ambos sexos,Tecnologías de la información y las comunicaciones (TIC),De 16 a 24 años,2020,91.3
304,Ambos sexos,Tecnologías de la información y las comunicaciones (TIC),De 16 a 24 años,2019,84.3
305,Ambos sexos,Tecnologías de la información y las comunicaciones (TIC),De 16 a 24 años,2018,80.8
306,Ambos sexos,Tecnologías de la información y las comunicaciones (TIC),De 16 a 24 años,2017,66.7
307,Ambos sexos,Tecnologías de la información y las comunicaciones (TIC),De 16 a 24 años,2016,70.9
308,Ambos sexos,Tecnologías de la información y las comunicaciones (TIC),De 25 a 34 años,2022,260.3
309,Ambos sexos,Tecnologías de la información y las comunicaciones (TIC),De 25 a 34 años,2021,216.3
310,Ambos sexos,Tecnologías de la información y las comunicaciones (TIC),De 25 a 34 años,2020,234.8
311,Ambos sexos,Tecnologías de la información y las comunicaciones (TIC),De 25 a 34 años,2019,253.0
312,Ambos sexos,Tecnologías de la información y las comunicaciones (TIC),De 25 a 34 años,2018,226.1
313,Ambos sexos,Tecnologías de la información y las comunicaciones (TIC),De 25 a 34 años,2017,219.8
314,Ambos sexos,Tecnologías de la información y las comunicaciones (TIC),De 25 a 34 años,2016,236.9
315,Ambos sexos,Tecnologías de la información y las comunicaciones (TIC),De 35 a 44 años,2022,278.0
316,Ambos sexos,Tecnologías de la información y las comunicaciones (TIC),De 35 a 44 años,2021,284.4
317,Ambos sexos,Tecnologías de la información y las comunicaciones (TIC),De 35 a 44 años,2020,266.7
318,Ambos sexos,Tecnologías de la información y las comunicaciones (TIC),De 35 a 44 años,2019,259.8
319,Ambos sexos,Tecnologías de la información y las comunicaciones (TIC),De 35 a 44 años,2018,295.9
320,Ambos sexos,Tecnologías de la información y las comunicaciones (TIC),De 35 a 44 años,2017,262.7
321,Ambos sexos,Tecnologías de la información y las comunicaciones (TIC),De 35 a 44 años,2016,256.6
322,Ambos sexos,Tecnologías de la información y las comunicaciones (TIC),De 45 a 54 años,2022,210.8
323,Ambos sexos,Tecnologías de la información y las comunicaciones (TIC),De 45 a 54 años,2021,185.0
324,Ambos sexos,Tecnologías de la información y las comunicaciones (TIC),De 45 a 54 años,2020,184.5
325,Ambos sexos,Tecnologías de la información y las comunicaciones (TIC),De 45 a 54 años,2019,164.8
326,Ambos sexos,Tecnologías de la información y las comunicaciones (TIC),De 45 a 54 años,2018,130.6
327,Ambos sexos,Tecnologías de la información y las comunicaciones (TIC),De 45 a 54 años,2017,120.4
328,Ambos sexos,Tecnologías de la información y las comunicaciones (TIC),De 45 a 54 años,2016,112.3
329,Ambos sexos,Tecnologías de la información y las comunicaciones (TIC),55 y más años,2022,94.1
330,Ambos sexos,Tecnologías de la información y las comunicaciones (TIC),55 y más años,2021,88.1
331,Ambos sexos,Tecnologías de la información y las comunicaciones (TIC),55 y más años,2020,81.9
332,Ambos sexos,Tecnologías de la información y las comunicaciones (TIC),55 y más años,2019,64.2
333,Ambos sexos,Tecnologías de la información y las comunicaciones (TIC),55 y más años,2018,55.8
334,Ambos sexos,Tecnologías de la información y las comunicaciones (TIC),55 y más años,2017,47.6
335,Ambos sexos,Tecnologías de la información y las comunicaciones (TIC),55 y más años,2016,28.7
336,Ambos sexos,Mecánica  electrónica y otra formación técnica  industria y construcción,Total,2022,3213.6
337,Ambos sexos,Mecánica  electrónica y otra formación técnica  industria y construcción,Total,2021,3170.1
338,Ambos sexos,Mecánica  electrónica y otra formación técnica  industria y construcción,Total,2020,3136.7
339,Ambos sexos,Mecánica  electrónica y otra formación técnica  industria y construcción,Total,2019,3035.7
340,Ambos sexos,Mecánica  electrónica y otra formación técnica  industria y construcción,Total,2018,2959.0
341,Ambos sexos,Mecánica  electrónica y otra formación técnica  industria y construcción,Total,2017,2952.6
342,Ambos sexos,Mecánica  electrónica y otra formación técnica  industria y construcción,Total,2016,2913.5
343,Ambos sexos,Mecánica  electrónica y otra formación técnica  industria y construcción,De 16 a 24 años,2022,186.7
344,Ambos sexos,Mecánica  electrónica y otra formación técnica  industria y construcción,De 16 a 24 años,2021,162.1
345,Ambos sexos,Mecánica  electrónica y otra formación técnica  industria y construcción,De 16 a 24 años,2020,157.4
346,Ambos sexos,Mecánica  electrónica y otra formación técnica  industria y construcción,De 16 a 24 años,2019,160.8
347,Ambos sexos,Mecánica  electrónica y otra formación técnica  industria y construcción,De 16 a 24 años,2018,164.9
348,Ambos sexos,Mecánica  electrónica y otra formación técnica  industria y construcción,De 16 a 24 años,2017,176.4
349,Ambos sexos,Mecánica  electrónica y otra formación técnica  industria y construcción,De 16 a 24 años,2016,161.2
350,Ambos sexos,Mecánica  electrónica y otra formación técnica  industria y construcción,De 25 a 34 años,2022,510.3
351,Ambos sexos,Mecánica  electrónica y otra formación técnica  industria y construcción,De 25 a 34 años,2021,485.4
352,Ambos sexos,Mecánica  electrónica y otra formación técnica  industria y construcción,De 25 a 34 años,2020,571.6
353,Ambos sexos,Mecánica  electrónica y otra formación técnica  industria y construcción,De 25 a 34 años,2019,530.4
354,Ambos sexos,Mecánica  electrónica y otra formación técnica  industria y construcción,De 25 a 34 años,2018,540.3
355,Ambos sexos,Mecánica  electrónica y otra formación técnica  industria y construcción,De 25 a 34 años,2017,552.1
