,sexo,comunidades_y_ciudades_autónomas,rama_de_actividad_-_cnae_2009,periodo,total
61,Ambos sexos,Nacional,Industrias extractivas,2010,245
62,Ambos sexos,Nacional,Industrias extractivas,2009,258.2
63,Ambos sexos,Nacional,Industrias extractivas,2008,250.3
64,Ambos sexos,Nacional,Industria manufacturera,2023,2534.1
65,Ambos sexos,Nacional,Industria manufacturera,2022,2505
66,Ambos sexos,Nacional,Industria manufacturera,2021,2422.9
67,Ambos sexos,Nacional,Industria manufacturera,2020,2431.2
68,Ambos sexos,Nacional,Industria manufacturera,2019,2494.9
69,Ambos sexos,Nacional,Industria manufacturera,2018,2444.2
70,Ambos sexos,Nacional,Industria manufacturera,2017,2393.4
71,Ambos sexos,Nacional,Industria manufacturera,2016,2284.2
72,Ambos sexos,Nacional,Industria manufacturera,2015,2225
73,Ambos sexos,Nacional,Industria manufacturera,2014,2141.4
74,Ambos sexos,Nacional,Industria manufacturera,2013,2118.7
75,Ambos sexos,Nacional,Industria manufacturera,2012,2223.9
76,Ambos sexos,Nacional,Industria manufacturera,2011,2349.7
77,Ambos sexos,Nacional,Industria manufacturera,2010,2405.4
78,Ambos sexos,Nacional,Industria manufacturera,2009,2549.4
79,Ambos sexos,Nacional,Industria manufacturera,2008,2986.4
80,Ambos sexos,Nacional,Construcción,2023,1361.2
81,Ambos sexos,Nacional,Construcción,2022,1321
82,Ambos sexos,Nacional,Construcción,2021,1291.5
83,Ambos sexos,Nacional,Construcción,2020,1244.1
84,Ambos sexos,Nacional,Construcción,2019,1277.9
85,Ambos sexos,Nacional,Construcción,2018,1221.8
86,Ambos sexos,Nacional,Construcción,2017,1128.3
87,Ambos sexos,Nacional,Construcción,2016,1073.8
88,Ambos sexos,Nacional,Construcción,2015,1073.7
89,Ambos sexos,Nacional,Construcción,2014,993.5
90,Ambos sexos,Nacional,Construcción,2013,1029.5
91,Ambos sexos,Nacional,Construcción,2012,1161.3
92,Ambos sexos,Nacional,Construcción,2011,1403.9
93,Ambos sexos,Nacional,Construcción,2010,1651.4
94,Ambos sexos,Nacional,Construcción,2009,1889.8
95,Ambos sexos,Nacional,Construcción,2008,2459.9
96,Ambos sexos,Nacional,"Comercio, logistica y hosteleria",2023,5997.5
97,Ambos sexos,Nacional,"Comercio, logistica y hosteleria",2022,5725.6
98,Ambos sexos,Nacional,"Comercio, logistica y hosteleria",2021,5446.8
99,Ambos sexos,Nacional,"Comercio, logistica y hosteleria",2020,5412.8
100,Ambos sexos,Nacional,"Comercio, logistica y hosteleria",2019,5819.9
101,Ambos sexos,Nacional,"Comercio, logistica y hosteleria",2018,5695.8
102,Ambos sexos,Nacional,"Comercio, logistica y hosteleria",2017,5567.4
103,Ambos sexos,Nacional,"Comercio, logistica y hosteleria",2016,5505.1
104,Ambos sexos,Nacional,"Comercio, logistica y hosteleria",2015,5297.1
105,Ambos sexos,Nacional,"Comercio, logistica y hosteleria",2014,5123.4
106,Ambos sexos,Nacional,"Comercio, logistica y hosteleria",2013,5010.8
107,Ambos sexos,Nacional,"Comercio, logistica y hosteleria",2012,5049.7
108,Ambos sexos,Nacional,"Comercio, logistica y hosteleria",2011,5262.8
109,Ambos sexos,Nacional,"Comercio, logistica y hosteleria",2010,5245.7
110,Ambos sexos,Nacional,"Comercio, logistica y hosteleria",2009,5337.5
111,Ambos sexos,Nacional,"Comercio, logistica y hosteleria",2008,5649
112,Ambos sexos,Nacional,Informacion y telecomunicaciones,2023,753.1
113,Ambos sexos,Nacional,Informacion y telecomunicaciones,2022,740
114,Ambos sexos,Nacional,Informacion y telecomunicaciones,2021,670.8
115,Ambos sexos,Nacional,Informacion y telecomunicaciones,2020,613
116,Ambos sexos,Nacional,Informacion y telecomunicaciones,2019,602.6
117,Ambos sexos,Nacional,Informacion y telecomunicaciones,2018,584.9
118,Ambos sexos,Nacional,Informacion y telecomunicaciones,2017,584.8
119,Ambos sexos,Nacional,Informacion y telecomunicaciones,2016,545.6
120,Ambos sexos,Nacional,Informacion y telecomunicaciones,2015,530.3
121,Ambos sexos,Nacional,Informacion y telecomunicaciones,2014,515.6
122,Ambos sexos,Nacional,Informacion y telecomunicaciones,2013,522.9
123,Ambos sexos,Nacional,Informacion y telecomunicaciones,2012,534.7
124,Ambos sexos,Nacional,Informacion y telecomunicaciones,2011,533.3
125,Ambos sexos,Nacional,Informacion y telecomunicaciones,2010,527.7
126,Ambos sexos,Nacional,Informacion y telecomunicaciones,2009,533.3
127,Ambos sexos,Nacional,Informacion y telecomunicaciones,2008,575.2
128,Ambos sexos,Nacional,Finanzas y seguros,2023,477.7
129,Ambos sexos,Nacional,Finanzas y seguros,2022,473.1
130,Ambos sexos,Nacional,Finanzas y seguros,2021,487.4
131,Ambos sexos,Nacional,Finanzas y seguros,2020,444.9
132,Ambos sexos,Nacional,Finanzas y seguros,2019,429.2
133,Ambos sexos,Nacional,Finanzas y seguros,2018,434.6
134,Ambos sexos,Nacional,Finanzas y seguros,2017,446.3
135,Ambos sexos,Nacional,Finanzas y seguros,2016,457.9
136,Ambos sexos,Nacional,Finanzas y seguros,2015,454.1
137,Ambos sexos,Nacional,Finanzas y seguros,2014,452.7
138,Ambos sexos,Nacional,Finanzas y seguros,2013,454.1
139,Ambos sexos,Nacional,Finanzas y seguros,2012,435.7
140,Ambos sexos,Nacional,Finanzas y seguros,2011,464.6
141,Ambos sexos,Nacional,Finanzas y seguros,2010,476.7
142,Ambos sexos,Nacional,Finanzas y seguros,2009,487.5
143,Ambos sexos,Nacional,Finanzas y seguros,2008,515.1
144,Ambos sexos,Nacional,Inmobiliarias,2023,178.4
145,Ambos sexos,Nacional,Inmobiliarias,2022,164.1
146,Ambos sexos,Nacional,Inmobiliarias,2021,153.9
147,Ambos sexos,Nacional,Inmobiliarias,2020,151.9
148,Ambos sexos,Nacional,Inmobiliarias,2019,154.3
149,Ambos sexos,Nacional,Inmobiliarias,2018,149.6
150,Ambos sexos,Nacional,Inmobiliarias,2017,129.6
151,Ambos sexos,Nacional,Inmobiliarias,2016,114.1
152,Ambos sexos,Nacional,Inmobiliarias,2015,104.1
153,Ambos sexos,Nacional,Inmobiliarias,2014,99.5
154,Ambos sexos,Nacional,Inmobiliarias,2013,92.1
155,Ambos sexos,Nacional,Inmobiliarias,2012,97.2
156,Ambos sexos,Nacional,Inmobiliarias,2011,96.3
157,Ambos sexos,Nacional,Inmobiliarias,2010,84.3
158,Ambos sexos,Nacional,Inmobiliarias,2009,91.9
159,Ambos sexos,Nacional,Inmobiliarias,2008,119.2
160,Ambos sexos,Nacional,"Actividades cientificas, administrativas y axuliares",2023,2276.1
161,Ambos sexos,Nacional,"Actividades cientificas, administrativas y axuliares",2022,2158.2
162,Ambos sexos,Nacional,"Actividades cientificas, administrativas y axuliares",2021,2138.4
163,Ambos sexos,Nacional,"Actividades cientificas, administrativas y axuliares",2020,2037.5
164,Ambos sexos,Nacional,"Actividades cientificas, administrativas y axuliares",2019,2052.9
165,Ambos sexos,Nacional,"Actividades cientificas, administrativas y axuliares",2018,1964.9
166,Ambos sexos,Nacional,"Actividades cientificas, administrativas y axuliares",2017,1912.2
167,Ambos sexos,Nacional,"Actividades cientificas, administrativas y axuliares",2016,1864.4
168,Ambos sexos,Nacional,"Actividades cientificas, administrativas y axuliares",2015,1818.5
169,Ambos sexos,Nacional,"Actividades cientificas, administrativas y axuliares",2014,1750.8
170,Ambos sexos,Nacional,"Actividades cientificas, administrativas y axuliares",2013,1719.4
171,Ambos sexos,Nacional,"Actividades cientificas, administrativas y axuliares",2012,1752.7
172,Ambos sexos,Nacional,"Actividades cientificas, administrativas y axuliares",2011,1767.7
173,Ambos sexos,Nacional,"Actividades cientificas, administrativas y axuliares",2010,1785.2
174,Ambos sexos,Nacional,"Actividades cientificas, administrativas y axuliares",2009,1793.4
175,Ambos sexos,Nacional,"Actividades cientificas, administrativas y axuliares",2008,1839.4
176,Ambos sexos,Nacional,"Admin.Publica, educacion y sanitarias",2023,4919.7
177,Ambos sexos,Nacional,"Admin.Publica, educacion y sanitarias",2022,4802.4
178,Ambos sexos,Nacional,"Admin.Publica, educacion y sanitarias",2021,4678.2
179,Ambos sexos,Nacional,"Admin.Publica, educacion y sanitarias",2020,4448.2
180,Ambos sexos,Nacional,"Admin.Publica, educacion y sanitarias",2019,4400.9
181,Ambos sexos,Nacional,"Admin.Publica, educacion y sanitarias",2018,4281.8
182,Ambos sexos,Nacional,"Admin.Publica, educacion y sanitarias",2017,4115.8
183,Ambos sexos,Nacional,"Admin.Publica, educacion y sanitarias",2016,4044.9
184,Ambos sexos,Nacional,"Admin.Publica, educacion y sanitarias",2015,3949.5
185,Ambos sexos,Nacional,"Admin.Publica, educacion y sanitarias",2014,3877.2
186,Ambos sexos,Nacional,"Admin.Publica, educacion y sanitarias",2013,3806.6
187,Ambos sexos,Nacional,"Admin.Publica, educacion y sanitarias",2012,3975.3
188,Ambos sexos,Nacional,"Admin.Publica, educacion y sanitarias",2011,4121.4
189,Ambos sexos,Nacional,"Admin.Publica, educacion y sanitarias",2010,4047.4
190,Ambos sexos,Nacional,"Admin.Publica, educacion y sanitarias",2009,3920.5
191,Ambos sexos,Nacional,"Admin.Publica, educacion y sanitarias",2008,3751.1
192,Ambos sexos,Nacional,"Artisticas, labores domesticas",2023,1506.5
193,Ambos sexos,Nacional,"Artisticas, labores domesticas",2022,1460
194,Ambos sexos,Nacional,"Artisticas, labores domesticas",2021,1403.8
195,Ambos sexos,Nacional,"Artisticas, labores domesticas",2020,1386.5
196,Ambos sexos,Nacional,"Artisticas, labores domesticas",2019,1481.2
197,Ambos sexos,Nacional,"Artisticas, labores domesticas",2018,1473.5
198,Ambos sexos,Nacional,"Artisticas, labores domesticas",2017,1473.5
199,Ambos sexos,Nacional,"Artisticas, labores domesticas",2016,1439
200,Ambos sexos,Nacional,"Artisticas, labores domesticas",2015,1419.7
201,Ambos sexos,Nacional,"Artisticas, labores domesticas",2014,1415.8
202,Ambos sexos,Nacional,"Artisticas, labores domesticas",2013,1411.6
203,Ambos sexos,Nacional,"Artisticas, labores domesticas",2012,1398.9
204,Ambos sexos,Nacional,"Artisticas, labores domesticas",2011,1411.6
205,Ambos sexos,Nacional,"Artisticas, labores domesticas",2010,1469.6
206,Ambos sexos,Nacional,"Artisticas, labores domesticas",2009,1457.3
207,Ambos sexos,Nacional,"Artisticas, labores domesticas",2008,1496
208,Ambos sexos,Andalucía,Total,2023,3369
209,Ambos sexos,Andalucía,Total,2022,3259.5
210,Ambos sexos,Andalucía,Total,2021,3151.1
211,Ambos sexos,Andalucía,Total,2020,3021.1
212,Ambos sexos,Andalucía,Total,2019,3119.7
213,Ambos sexos,Andalucía,Total,2018,3030.8
214,Ambos sexos,Andalucía,Total,2017,2948.6
215,Ambos sexos,Andalucía,Total,2016,2833.4
216,Ambos sexos,Andalucía,Total,2015,2767.4
217,Ambos sexos,Andalucía,Total,2014,2634
218,Ambos sexos,Andalucía,Total,2013,2571.5
219,Ambos sexos,Andalucía,Total,2012,2655.5
220,Ambos sexos,Andalucía,Total,2011,2797.9
221,Ambos sexos,Andalucía,Total,2010,2873.9
222,Ambos sexos,Andalucía,Total,2009,2932.2
223,Ambos sexos,Andalucía,Total,2008,3160.7
224,Ambos sexos,Andalucía,Agricultura,2023,237.4
225,Ambos sexos,Andalucía,Agricultura,2022,241.7
226,Ambos sexos,Andalucía,Agricultura,2021,274.5
227,Ambos sexos,Andalucía,Agricultura,2020,264.8
228,Ambos sexos,Andalucía,Agricultura,2019,255.4
229,Ambos sexos,Andalucía,Agricultura,2018,250.9
230,Ambos sexos,Andalucía,Agricultura,2017,263.1
231,Ambos sexos,Andalucía,Agricultura,2016,246
232,Ambos sexos,Andalucía,Agricultura,2015,218.9
233,Ambos sexos,Andalucía,Agricultura,2014,220.9
234,Ambos sexos,Andalucía,Agricultura,2013,195.4
235,Ambos sexos,Andalucía,Agricultura,2012,201.8
236,Ambos sexos,Andalucía,Agricultura,2011,214.8
237,Ambos sexos,Andalucía,Agricultura,2010,224.7
238,Ambos sexos,Andalucía,Agricultura,2009,216.8
239,Ambos sexos,Andalucía,Agricultura,2008,219.9
240,Ambos sexos,Andalucía,Industria general,2023,301.5
241,Ambos sexos,Andalucía,Industria general,2022,297.9
242,Ambos sexos,Andalucía,Industria general,2021,292.6
243,Ambos sexos,Andalucía,Industria general,2020,299.4
244,Ambos sexos,Andalucía,Industria general,2019,293.8
245,Ambos sexos,Andalucía,Industria general,2018,278.3
246,Ambos sexos,Andalucía,Industria general,2017,264
247,Ambos sexos,Andalucía,Industria general,2016,250.6
248,Ambos sexos,Andalucía,Industria general,2015,228.7
249,Ambos sexos,Andalucía,Industria general,2014,223.6
250,Ambos sexos,Andalucía,Industria general,2013,220.4
251,Ambos sexos,Andalucía,Industria general,2012,238.2
252,Ambos sexos,Andalucía,Industria general,2011,253.8
253,Ambos sexos,Andalucía,Industria general,2010,260.8
254,Ambos sexos,Andalucía,Industria general,2009,277.1
255,Ambos sexos,Andalucía,Industria general,2008,318.3
256,Ambos sexos,Andalucía,Industrias extractivas,2023,51.2
257,Ambos sexos,Andalucía,Industrias extractivas,2022,52.7
258,Ambos sexos,Andalucía,Industrias extractivas,2021,48.1
259,Ambos sexos,Andalucía,Industrias extractivas,2020,44.9
260,Ambos sexos,Andalucía,Industrias extractivas,2019,40
261,Ambos sexos,Andalucía,Industrias extractivas,2018,35.4
262,Ambos sexos,Andalucía,Industrias extractivas,2017,38.7
263,Ambos sexos,Andalucía,Industrias extractivas,2016,37.8
264,Ambos sexos,Andalucía,Industrias extractivas,2015,36
265,Ambos sexos,Andalucía,Industrias extractivas,2014,31.8
266,Ambos sexos,Andalucía,Industrias extractivas,2013,33
267,Ambos sexos,Andalucía,Industrias extractivas,2012,39.3
268,Ambos sexos,Andalucía,Industrias extractivas,2011,39.6
269,Ambos sexos,Andalucía,Industrias extractivas,2010,32.5
270,Ambos sexos,Andalucía,Industrias extractivas,2009,32.9
271,Ambos sexos,Andalucía,Industrias extractivas,2008,31.5
272,Ambos sexos,Andalucía,Industria manufacturera,2023,250.3
273,Ambos sexos,Andalucía,Industria manufacturera,2022,245.2
274,Ambos sexos,Andalucía,Industria manufacturera,2021,244.5
275,Ambos sexos,Andalucía,Industria manufacturera,2020,254.6
276,Ambos sexos,Andalucía,Industria manufacturera,2019,253.8
277,Ambos sexos,Andalucía,Industria manufacturera,2018,242.8
278,Ambos sexos,Andalucía,Industria manufacturera,2017,225.3
279,Ambos sexos,Andalucía,Industria manufacturera,2016,212.8
280,Ambos sexos,Andalucía,Industria manufacturera,2015,192.8
281,Ambos sexos,Andalucía,Industria manufacturera,2014,191.9
282,Ambos sexos,Andalucía,Industria manufacturera,2013,187.4
283,Ambos sexos,Andalucía,Industria manufacturera,2012,198.8
284,Ambos sexos,Andalucía,Industria manufacturera,2011,214.2
285,Ambos sexos,Andalucía,Industria manufacturera,2010,228.3
286,Ambos sexos,Andalucía,Industria manufacturera,2009,244.2
287,Ambos sexos,Andalucía,Industria manufacturera,2008,286.7
288,Ambos sexos,Andalucía,Construcción,2023,220.3
289,Ambos sexos,Andalucía,Construcción,2022,219.2
290,Ambos sexos,Andalucía,Construcción,2021,216.2
291,Ambos sexos,Andalucía,Construcción,2020,197.2
292,Ambos sexos,Andalucía,Construcción,2019,206.6
293,Ambos sexos,Andalucía,Construcción,2018,193.7
294,Ambos sexos,Andalucía,Construcción,2017,163.7
295,Ambos sexos,Andalucía,Construcción,2016,161.4
296,Ambos sexos,Andalucía,Construcción,2015,150.3
297,Ambos sexos,Andalucía,Construcción,2014,135.1
298,Ambos sexos,Andalucía,Construcción,2013,134.7
299,Ambos sexos,Andalucía,Construcción,2012,157.2
300,Ambos sexos,Andalucía,Construcción,2011,209.7
301,Ambos sexos,Andalucía,Construcción,2010,245.9
302,Ambos sexos,Andalucía,Construcción,2009,280.1
303,Ambos sexos,Andalucía,Construcción,2008,418.4
304,Ambos sexos,Andalucía,"Comercio, logistica y hosteleria",2023,1003.6
305,Ambos sexos,Andalucía,"Comercio, logistica y hosteleria",2022,994.9
306,Ambos sexos,Andalucía,"Comercio, logistica y hosteleria",2021,943.9
307,Ambos sexos,Andalucía,"Comercio, logistica y hosteleria",2020,911
308,Ambos sexos,Andalucía,"Comercio, logistica y hosteleria",2019,983.9
309,Ambos sexos,Andalucía,"Comercio, logistica y hosteleria",2018,940.5
310,Ambos sexos,Andalucía,"Comercio, logistica y hosteleria",2017,927.1
311,Ambos sexos,Andalucía,"Comercio, logistica y hosteleria",2016,888.3
312,Ambos sexos,Andalucía,"Comercio, logistica y hosteleria",2015,881.6
313,Ambos sexos,Andalucía,"Comercio, logistica y hosteleria",2014,830.6
314,Ambos sexos,Andalucía,"Comercio, logistica y hosteleria",2013,822.8
315,Ambos sexos,Andalucía,"Comercio, logistica y hosteleria",2012,832.3
316,Ambos sexos,Andalucía,"Comercio, logistica y hosteleria",2011,858.5
317,Ambos sexos,Andalucía,"Comercio, logistica y hosteleria",2010,847.4
318,Ambos sexos,Andalucía,"Comercio, logistica y hosteleria",2009,883
319,Ambos sexos,Andalucía,"Comercio, logistica y hosteleria",2008,940.5
320,Ambos sexos,Andalucía,Informacion y telecomunicaciones,2023,94.7
321,Ambos sexos,Andalucía,Informacion y telecomunicaciones,2022,89.1
322,Ambos sexos,Andalucía,Informacion y telecomunicaciones,2021,70.9
323,Ambos sexos,Andalucía,Informacion y telecomunicaciones,2020,56.9
324,Ambos sexos,Andalucía,Informacion y telecomunicaciones,2019,58.7
325,Ambos sexos,Andalucía,Informacion y telecomunicaciones,2018,61.5
326,Ambos sexos,Andalucía,Informacion y telecomunicaciones,2017,61.6
327,Ambos sexos,Andalucía,Informacion y telecomunicaciones,2016,49.3
328,Ambos sexos,Andalucía,Informacion y telecomunicaciones,2015,45.5
329,Ambos sexos,Andalucía,Informacion y telecomunicaciones,2014,42.2
330,Ambos sexos,Andalucía,Informacion y telecomunicaciones,2013,41.6
331,Ambos sexos,Andalucía,Informacion y telecomunicaciones,2012,47.1
332,Ambos sexos,Andalucía,Informacion y telecomunicaciones,2011,45.3
333,Ambos sexos,Andalucía,Informacion y telecomunicaciones,2010,51.9
334,Ambos sexos,Andalucía,Informacion y telecomunicaciones,2009,54.6
335,Ambos sexos,Andalucía,Informacion y telecomunicaciones,2008,51.9
336,Ambos sexos,Andalucía,Finanzas y seguros,2023,58.8
337,Ambos sexos,Andalucía,Finanzas y seguros,2022,54.8
338,Ambos sexos,Andalucía,Finanzas y seguros,2021,55.4
339,Ambos sexos,Andalucía,Finanzas y seguros,2020,51.6
340,Ambos sexos,Andalucía,Finanzas y seguros,2019,49
341,Ambos sexos,Andalucía,Finanzas y seguros,2018,53.9
342,Ambos sexos,Andalucía,Finanzas y seguros,2017,57
343,Ambos sexos,Andalucía,Finanzas y seguros,2016,51
344,Ambos sexos,Andalucía,Finanzas y seguros,2015,52.5
345,Ambos sexos,Andalucía,Finanzas y seguros,2014,49.2
346,Ambos sexos,Andalucía,Finanzas y seguros,2013,50.2
347,Ambos sexos,Andalucía,Finanzas y seguros,2012,59.6
348,Ambos sexos,Andalucía,Finanzas y seguros,2011,61.2
349,Ambos sexos,Andalucía,Finanzas y seguros,2010,57.2
350,Ambos sexos,Andalucía,Finanzas y seguros,2009,50.7
351,Ambos sexos,Andalucía,Finanzas y seguros,2008,56
352,Ambos sexos,Andalucía,Inmobiliarias,2023,26
353,Ambos sexos,Andalucía,Inmobiliarias,2022,31.7
354,Ambos sexos,Andalucía,Inmobiliarias,2021,27.5
355,Ambos sexos,Andalucía,Inmobiliarias,2020,24.3
356,Ambos sexos,Andalucía,Inmobiliarias,2019,21.8
357,Ambos sexos,Andalucía,Inmobiliarias,2018,21.8
358,Ambos sexos,Andalucía,Inmobiliarias,2017,16.4
359,Ambos sexos,Andalucía,Inmobiliarias,2016,15.2
360,Ambos sexos,Andalucía,Inmobiliarias,2015,15.8
361,Ambos sexos,Andalucía,Inmobiliarias,2014,14.2
362,Ambos sexos,Andalucía,Inmobiliarias,2013,14.3
363,Ambos sexos,Andalucía,Inmobiliarias,2012,13.2
364,Ambos sexos,Andalucía,Inmobiliarias,2011,13.4
365,Ambos sexos,Andalucía,Inmobiliarias,2010,10.5
366,Ambos sexos,Andalucía,Inmobiliarias,2009,11
367,Ambos sexos,Andalucía,Inmobiliarias,2008,20.3
368,Ambos sexos,Andalucía,"Actividades cientificas, administrativas y axuliares",2023,335.3
369,Ambos sexos,Andalucía,"Actividades cientificas, administrativas y axuliares",2022,294.6
370,Ambos sexos,Andalucía,"Actividades cientificas, administrativas y axuliares",2021,284.6
371,Ambos sexos,Andalucía,"Actividades cientificas, administrativas y axuliares",2020,284.7
372,Ambos sexos,Andalucía,"Actividades cientificas, administrativas y axuliares",2019,297.5
373,Ambos sexos,Andalucía,"Actividades cientificas, administrativas y axuliares",2018,280.9
374,Ambos sexos,Andalucía,"Actividades cientificas, administrativas y axuliares",2017,268.2
375,Ambos sexos,Andalucía,"Actividades cientificas, administrativas y axuliares",2016,273.5
376,Ambos sexos,Andalucía,"Actividades cientificas, administrativas y axuliares",2015,266.7
377,Ambos sexos,Andalucía,"Actividades cientificas, administrativas y axuliares",2014,250.2
378,Ambos sexos,Andalucía,"Actividades cientificas, administrativas y axuliares",2013,239.3
379,Ambos sexos,Andalucía,"Actividades cientificas, administrativas y axuliares",2012,228.4
380,Ambos sexos,Andalucía,"Actividades cientificas, administrativas y axuliares",2011,231
381,Ambos sexos,Andalucía,"Actividades cientificas, administrativas y axuliares",2010,242.1
382,Ambos sexos,Andalucía,"Actividades cientificas, administrativas y axuliares",2009,243.6
383,Ambos sexos,Andalucía,"Actividades cientificas, administrativas y axuliares",2008,247.1
384,Ambos sexos,Andalucía,"Admin.Publica, educacion y sanitarias",2023,857.6
385,Ambos sexos,Andalucía,"Admin.Publica, educacion y sanitarias",2022,806.8
386,Ambos sexos,Andalucía,"Admin.Publica, educacion y sanitarias",2021,779.5
387,Ambos sexos,Andalucía,"Admin.Publica, educacion y sanitarias",2020,721.8
388,Ambos sexos,Andalucía,"Admin.Publica, educacion y sanitarias",2019,728.2
389,Ambos sexos,Andalucía,"Admin.Publica, educacion y sanitarias",2018,724.6
390,Ambos sexos,Andalucía,"Admin.Publica, educacion y sanitarias",2017,700.9
391,Ambos sexos,Andalucía,"Admin.Publica, educacion y sanitarias",2016,689.1
392,Ambos sexos,Andalucía,"Admin.Publica, educacion y sanitarias",2015,686.3
393,Ambos sexos,Andalucía,"Admin.Publica, educacion y sanitarias",2014,645.8
394,Ambos sexos,Andalucía,"Admin.Publica, educacion y sanitarias",2013,638
395,Ambos sexos,Andalucía,"Admin.Publica, educacion y sanitarias",2012,668.2
396,Ambos sexos,Andalucía,"Admin.Publica, educacion y sanitarias",2011,692.4
397,Ambos sexos,Andalucía,"Admin.Publica, educacion y sanitarias",2010,701.6
398,Ambos sexos,Andalucía,"Admin.Publica, educacion y sanitarias",2009,678.1
399,Ambos sexos,Andalucía,"Admin.Publica, educacion y sanitarias",2008,640.3
400,Ambos sexos,Andalucía,"Artisticas, labores domesticas",2023,233.8
401,Ambos sexos,Andalucía,"Artisticas, labores domesticas",2022,228.8
402,Ambos sexos,Andalucía,"Artisticas, labores domesticas",2021,205.9
403,Ambos sexos,Andalucía,"Artisticas, labores domesticas",2020,209.4
404,Ambos sexos,Andalucía,"Artisticas, labores domesticas",2019,224.8
405,Ambos sexos,Andalucía,"Artisticas, labores domesticas",2018,224.7
406,Ambos sexos,Andalucía,"Artisticas, labores domesticas",2017,226.3
407,Ambos sexos,Andalucía,"Artisticas, labores domesticas",2016,209
408,Ambos sexos,Andalucía,"Artisticas, labores domesticas",2015,221.1
409,Ambos sexos,Andalucía,"Artisticas, labores domesticas",2014,222.2
410,Ambos sexos,Andalucía,"Artisticas, labores domesticas",2013,214.7
411,Ambos sexos,Andalucía,"Artisticas, labores domesticas",2012,209.7
412,Ambos sexos,Andalucía,"Artisticas, labores domesticas",2011,217.9
413,Ambos sexos,Andalucía,"Artisticas, labores domesticas",2010,231.8
414,Ambos sexos,Andalucía,"Artisticas, labores domesticas",2009,237.2
415,Ambos sexos,Andalucía,"Artisticas, labores domesticas",2008,247.9
