Sexo;Sector del nivel de formación alcanzado;Edad;Periodo;Total
Ambos sexos;00 Formación general, formación básica de adultos y habilidades personales;De 25 a 34 años;2018;2.183,7
Ambos sexos;00 Formación general, formación básica de adultos y habilidades personales;De 25 a 34 años;2017;2.329,3
Ambos sexos;00 Formación general, formación básica de adultos y habilidades personales;De 25 a 34 años;2016;2.396,9
Ambos sexos;00 Formación general, formación básica de adultos y habilidades personales;De 35 a 44 años;2022;2.820,2
Ambos sexos;00 Formación general, formación básica de adultos y habilidades personales;De 35 a 44 años;2021;2.894,1
Ambos sexos;00 Formación general, formación básica de adultos y habilidades personales;De 35 a 44 años;2020;3.065
Ambos sexos;00 Formación general, formación básica de adultos y habilidades personales;De 35 a 44 años;2019;3.273,9
Ambos sexos;00 Formación general, formación básica de adultos y habilidades personales;De 35 a 44 años;2018;3.238,7
Ambos sexos;00 Formación general, formación básica de adultos y habilidades personales;De 35 a 44 años;2017;3.377,6
Ambos sexos;00 Formación general, formación básica de adultos y habilidades personales;De 35 a 44 años;2016;3.447,9
Ambos sexos;00 Formación general, formación básica de adultos y habilidades personales;De 45 a 54 años;2022;3.680,2
Ambos sexos;00 Formación general, formación básica de adultos y habilidades personales;De 45 a 54 años;2021;3.650,5
Ambos sexos;00 Formación general, formación básica de adultos y habilidades personales;De 45 a 54 años;2020;3.826,3
Ambos sexos;00 Formación general, formación básica de adultos y habilidades personales;De 45 a 54 años;2019;3.875,1
Ambos sexos;00 Formación general, formación básica de adultos y habilidades personales;De 45 a 54 años;2018;3.978,1
Ambos sexos;00 Formación general, formación básica de adultos y habilidades personales;De 45 a 54 años;2017;3.985,8
Ambos sexos;00 Formación general, formación básica de adultos y habilidades personales;De 45 a 54 años;2016;4.045,4
Ambos sexos;00 Formación general, formación básica de adultos y habilidades personales;55 y más años;2022;10.745,2
Ambos sexos;00 Formación general, formación básica de adultos y habilidades personales;55 y más años;2021;10.617,1
Ambos sexos;00 Formación general, formación básica de adultos y habilidades personales;55 y más años;2020;10.750
Ambos sexos;00 Formación general, formación básica de adultos y habilidades personales;55 y más años;2019;10.750,5
Ambos sexos;00 Formación general, formación básica de adultos y habilidades personales;55 y más años;2018;10.667,9
Ambos sexos;00 Formación general, formación básica de adultos y habilidades personales;55 y más años;2017;10.519,8
Ambos sexos;00 Formación general, formación básica de adultos y habilidades personales;55 y más años;2016;10.582,3
Ambos sexos;01 Educación;Total;2022;1.606,6
Ambos sexos;01 Educación;Total;2021;1.576,5
Ambos sexos;01 Educación;Total;2020;1.471,6
Ambos sexos;01 Educación;Total;2019;1.532,2
Ambos sexos;01 Educación;Total;2018;1.345,8
Ambos sexos;01 Educación;Total;2017;1.358,6
Ambos sexos;01 Educación;Total;2016;1.313,4
Ambos sexos;01 Educación;De 16 a 24 años;2022;88,6
Ambos sexos;01 Educación;De 16 a 24 años;2021;89,6
Ambos sexos;01 Educación;De 16 a 24 años;2020;75,5
Ambos sexos;01 Educación;De 16 a 24 años;2019;91,1
Ambos sexos;01 Educación;De 16 a 24 años;2018;80,4
Ambos sexos;01 Educación;De 16 a 24 años;2017;87,3
Ambos sexos;01 Educación;De 16 a 24 años;2016;90,6
Ambos sexos;01 Educación;De 25 a 34 años;2022;366,1
Ambos sexos;01 Educación;De 25 a 34 años;2021;365
Ambos sexos;01 Educación;De 25 a 34 años;2020;342,5
Ambos sexos;01 Educación;De 25 a 34 años;2019;342,1
Ambos sexos;01 Educación;De 25 a 34 años;2018;306,8
Ambos sexos;01 Educación;De 25 a 34 años;2017;308
Ambos sexos;01 Educación;De 25 a 34 años;2016;294,3
Ambos sexos;01 Educación;De 35 a 44 años;2022;330,9
Ambos sexos;01 Educación;De 35 a 44 años;2021;339,9
Ambos sexos;01 Educación;De 35 a 44 años;2020;314,4
Ambos sexos;01 Educación;De 35 a 44 años;2019;327,8
Ambos sexos;01 Educación;De 35 a 44 años;2018;331,8
Ambos sexos;01 Educación;De 35 a 44 años;2017;325,2
Ambos sexos;01 Educación;De 35 a 44 años;2016;300,2
Ambos sexos;01 Educación;De 45 a 54 años;2022;281,1
Ambos sexos;01 Educación;De 45 a 54 años;2021;254
Ambos sexos;01 Educación;De 45 a 54 años;2020;250,8
Ambos sexos;01 Educación;De 45 a 54 años;2019;270,7
Ambos sexos;01 Educación;De 45 a 54 años;2018;219,3
Ambos sexos;01 Educación;De 45 a 54 años;2017;233,2
Ambos sexos;01 Educación;De 45 a 54 años;2016;225,8
Ambos sexos;01 Educación;55 y más años;2022;539,9
Ambos sexos;01 Educación;55 y más años;2021;528,1
Ambos sexos;01 Educación;55 y más años;2020;488,4
Ambos sexos;01 Educación;55 y más años;2019;500,3
Ambos sexos;01 Educación;55 y más años;2018;407,5
Ambos sexos;01 Educación;55 y más años;2017;405
Ambos sexos;01 Educación;55 y más años;2016;402,4
Ambos sexos;02 Artes, humanidades y lenguas;Total;2022;1.168,6
Ambos sexos;02 Artes, humanidades y lenguas;Total;2021;1.158,9
Ambos sexos;02 Artes, humanidades y lenguas;Total;2020;1.162,9
Ambos sexos;02 Artes, humanidades y lenguas;Total;2019;1.110,9
Ambos sexos;02 Artes, humanidades y lenguas;Total;2018;1.067,9
Ambos sexos;02 Artes, humanidades y lenguas;Total;2017;1.096,3
Ambos sexos;02 Artes, humanidades y lenguas;Total;2016;1.018,8
Ambos sexos;02 Artes, humanidades y lenguas;De 16 a 24 años;2022;68,5
Ambos sexos;02 Artes, humanidades y lenguas;De 16 a 24 años;2021;72
Ambos sexos;02 Artes, humanidades y lenguas;De 16 a 24 años;2020;68,5
Ambos sexos;02 Artes, humanidades y lenguas;De 16 a 24 años;2019;67,8
Ambos sexos;02 Artes, humanidades y lenguas;De 16 a 24 años;2018;58,5
Ambos sexos;02 Artes, humanidades y lenguas;De 16 a 24 años;2017;56,2
Ambos sexos;02 Artes, humanidades y lenguas;De 16 a 24 años;2016;55,4
Ambos sexos;02 Artes, humanidades y lenguas;De 25 a 34 años;2022;223
Ambos sexos;02 Artes, humanidades y lenguas;De 25 a 34 años;2021;214,4
Ambos sexos;02 Artes, humanidades y lenguas;De 25 a 34 años;2020;209,2
Ambos sexos;02 Artes, humanidades y lenguas;De 25 a 34 años;2019;211,4
Ambos sexos;02 Artes, humanidades y lenguas;De 25 a 34 años;2018;224,2
Ambos sexos;02 Artes, humanidades y lenguas;De 25 a 34 años;2017;195,5
Ambos sexos;02 Artes, humanidades y lenguas;De 25 a 34 años;2016;180,6
Ambos sexos;02 Artes, humanidades y lenguas;De 35 a 44 años;2022;241,7
Ambos sexos;02 Artes, humanidades y lenguas;De 35 a 44 años;2021;226,9
Ambos sexos;02 Artes, humanidades y lenguas;De 35 a 44 años;2020;276,8
Ambos sexos;02 Artes, humanidades y lenguas;De 35 a 44 años;2019;271,7
Ambos sexos;02 Artes, humanidades y lenguas;De 35 a 44 años;2018;259,2
Ambos sexos;02 Artes, humanidades y lenguas;De 35 a 44 años;2017;276,9
Ambos sexos;02 Artes, humanidades y lenguas;De 35 a 44 años;2016;287,5
Ambos sexos;02 Artes, humanidades y lenguas;De 45 a 54 años;2022;239
Ambos sexos;02 Artes, humanidades y lenguas;De 45 a 54 años;2021;259,7
Ambos sexos;02 Artes, humanidades y lenguas;De 45 a 54 años;2020;241,3
Ambos sexos;02 Artes, humanidades y lenguas;De 45 a 54 años;2019;239,9
Ambos sexos;02 Artes, humanidades y lenguas;De 45 a 54 años;2018;222,4
Ambos sexos;02 Artes, humanidades y lenguas;De 45 a 54 años;2017;266,3
Ambos sexos;02 Artes, humanidades y lenguas;De 45 a 54 años;2016;245,3
Ambos sexos;02 Artes, humanidades y lenguas;55 y más años;2022;396,4
Ambos sexos;02 Artes, humanidades y lenguas;55 y más años;2021;385,9
Ambos sexos;02 Artes, humanidades y lenguas;55 y más años;2020;366,9
Ambos sexos;02 Artes, humanidades y lenguas;55 y más años;2019;320,1
Ambos sexos;02 Artes, humanidades y lenguas;55 y más años;2018;303,6
Ambos sexos;02 Artes, humanidades y lenguas;55 y más años;2017;301,4
Ambos sexos;02 Artes, humanidades y lenguas;55 y más años;2016;250
Ambos sexos;03 Ciencias sociales, periodismo y documentación;Total;2022;744
Ambos sexos;03 Ciencias sociales, periodismo y documentación;Total;2021;678,2
Ambos sexos;03 Ciencias sociales, periodismo y documentación;Total;2020;650,4
Ambos sexos;03 Ciencias sociales, periodismo y documentación;Total;2019;638,4
Ambos sexos;03 Ciencias sociales, periodismo y documentación;Total;2018;617,4
Ambos sexos;03 Ciencias sociales, periodismo y documentación;Total;2017;631,3
Ambos sexos;03 Ciencias sociales, periodismo y documentación;Total;2016;616,8
Ambos sexos;03 Ciencias sociales, periodismo y documentación;De 16 a 24 años;2022;42,8
Ambos sexos;03 Ciencias sociales, periodismo y documentación;De 16 a 24 años;2021;36,3
Ambos sexos;03 Ciencias sociales, periodismo y documentación;De 16 a 24 años;2020;28,9
Ambos sexos;03 Ciencias sociales, periodismo y documentación;De 16 a 24 años;2019;32,2
Ambos sexos;03 Ciencias sociales, periodismo y documentación;De 16 a 24 años;2018;30,8
Ambos sexos;03 Ciencias sociales, periodismo y documentación;De 16 a 24 años;2017;33,3
Ambos sexos;03 Ciencias sociales, periodismo y documentación;De 16 a 24 años;2016;44,9
Ambos sexos;03 Ciencias sociales, periodismo y documentación;De 25 a 34 años;2022;144
Ambos sexos;03 Ciencias sociales, periodismo y documentación;De 25 a 34 años;2021;137,2
Ambos sexos;03 Ciencias sociales, periodismo y documentación;De 25 a 34 años;2020;133,8
Ambos sexos;03 Ciencias sociales, periodismo y documentación;De 25 a 34 años;2019;132,6
Ambos sexos;03 Ciencias sociales, periodismo y documentación;De 25 a 34 años;2018;141,9
Ambos sexos;03 Ciencias sociales, periodismo y documentación;De 25 a 34 años;2017;134
Ambos sexos;03 Ciencias sociales, periodismo y documentación;De 25 a 34 años;2016;153,2
Ambos sexos;03 Ciencias sociales, periodismo y documentación;De 35 a 44 años;2022;174,3
Ambos sexos;03 Ciencias sociales, periodismo y documentación;De 35 a 44 años;2021;180,1
Ambos sexos;03 Ciencias sociales, periodismo y documentación;De 35 a 44 años;2020;184,2
Ambos sexos;03 Ciencias sociales, periodismo y documentación;De 35 a 44 años;2019;189,7
Ambos sexos;03 Ciencias sociales, periodismo y documentación;De 35 a 44 años;2018;169,7
Ambos sexos;03 Ciencias sociales, periodismo y documentación;De 35 a 44 años;2017;197,5
Ambos sexos;03 Ciencias sociales, periodismo y documentación;De 35 a 44 años;2016;180,6
Ambos sexos;03 Ciencias sociales, periodismo y documentación;De 45 a 54 años;2022;179,7
Ambos sexos;03 Ciencias sociales, periodismo y documentación;De 45 a 54 años;2021;160,8
Ambos sexos;03 Ciencias sociales, periodismo y documentación;De 45 a 54 años;2020;138,3
Ambos sexos;03 Ciencias sociales, periodismo y documentación;De 45 a 54 años;2019;153,4
Ambos sexos;03 Ciencias sociales, periodismo y documentación;De 45 a 54 años;2018;150,2
Ambos sexos;03 Ciencias sociales, periodismo y documentación;De 45 a 54 años;2017;148
Ambos sexos;03 Ciencias sociales, periodismo y documentación;De 45 a 54 años;2016;134,9
Ambos sexos;03 Ciencias sociales, periodismo y documentación;55 y más años;2022;203,1
Ambos sexos;03 Ciencias sociales, periodismo y documentación;55 y más años;2021;163,9
Ambos sexos;03 Ciencias sociales, periodismo y documentación;55 y más años;2020;165,2
Ambos sexos;03 Ciencias sociales, periodismo y documentación;55 y más años;2019;130,4
Ambos sexos;03 Ciencias sociales, periodismo y documentación;55 y más años;2018;124,8
Ambos sexos;03 Ciencias sociales, periodismo y documentación;55 y más años;2017;118,5
Ambos sexos;03 Ciencias sociales, periodismo y documentación;55 y más años;2016;103,3
Ambos sexos;04 Negocios, administración y derecho;Total;2022;4.292,3
Ambos sexos;04 Negocios, administración y derecho;Total;2021;4.371,8
Ambos sexos;04 Negocios, administración y derecho;Total;2020;4.094,6
Ambos sexos;04 Negocios, administración y derecho;Total;2019;3.821
Ambos sexos;04 Negocios, administración y derecho;Total;2018;3.849,1
Ambos sexos;04 Negocios, administración y derecho;Total;2017;3.833
Ambos sexos;04 Negocios, administración y derecho;Total;2016;3.564,4
Ambos sexos;04 Negocios, administración y derecho;De 16 a 24 años;2022;212,7
Ambos sexos;04 Negocios, administración y derecho;De 16 a 24 años;2021;219,5
Ambos sexos;04 Negocios, administración y derecho;De 16 a 24 años;2020;198,2
Ambos sexos;04 Negocios, administración y derecho;De 16 a 24 años;2019;159,6
Ambos sexos;04 Negocios, administración y derecho;De 16 a 24 años;2018;168,5
Ambos sexos;04 Negocios, administración y derecho;De 16 a 24 años;2017;184,6
Ambos sexos;04 Negocios, administración y derecho;De 16 a 24 años;2016;180,5
Ambos sexos;04 Negocios, administración y derecho;De 25 a 34 años;2022;698
Ambos sexos;04 Negocios, administración y derecho;De 25 a 34 años;2021;779,2
Ambos sexos;04 Negocios, administración y derecho;De 25 a 34 años;2020;742,2
Ambos sexos;04 Negocios, administración y derecho;De 25 a 34 años;2019;718
Ambos sexos;04 Negocios, administración y derecho;De 25 a 34 años;2018;730
Ambos sexos;04 Negocios, administración y derecho;De 25 a 34 años;2017;716,8
Ambos sexos;04 Negocios, administración y derecho;De 25 a 34 años;2016;693,2
Ambos sexos;04 Negocios, administración y derecho;De 35 a 44 años;2022;982,3
Ambos sexos;04 Negocios, administración y derecho;De 35 a 44 años;2021;1.069,7
Ambos sexos;04 Negocios, administración y derecho;De 35 a 44 años;2020;1.070,3
Ambos sexos;04 Negocios, administración y derecho;De 35 a 44 años;2019;1.072,8
Ambos sexos;04 Negocios, administración y derecho;De 35 a 44 años;2018;1.181,6
Ambos sexos;04 Negocios, administración y derecho;De 35 a 44 años;2017;1.210,2
Ambos sexos;04 Negocios, administración y derecho;De 35 a 44 años;2016;1.203,3
Ambos sexos;04 Negocios, administración y derecho;De 45 a 54 años;2022;1.252,3
Ambos sexos;04 Negocios, administración y derecho;De 45 a 54 años;2021;1.202,7
Ambos sexos;04 Negocios, administración y derecho;De 45 a 54 años;2020;1.150,1
Ambos sexos;04 Negocios, administración y derecho;De 45 a 54 años;2019;1.044,8
Ambos sexos;04 Negocios, administración y derecho;De 45 a 54 años;2018;1.005
Ambos sexos;04 Negocios, administración y derecho;De 45 a 54 años;2017;970,3
Ambos sexos;04 Negocios, administración y derecho;De 45 a 54 años;2016;895,1
Ambos sexos;04 Negocios, administración y derecho;55 y más años;2022;1.147
Ambos sexos;04 Negocios, administración y derecho;55 y más años;2021;1.100,8
Ambos sexos;04 Negocios, administración y derecho;55 y más años;2020;933,7
Ambos sexos;04 Negocios, administración y derecho;55 y más años;2019;825,8
Ambos sexos;04 Negocios, administración y derecho;55 y más años;2018;764,1
Ambos sexos;04 Negocios, administración y derecho;55 y más años;2017;751,2
Ambos sexos;04 Negocios, administración y derecho;55 y más años;2016;592,3
Ambos sexos;05 Ciencias naturales, químicas, físicas y matemáticas;Total;2022;786,2
Ambos sexos;05 Ciencias naturales, químicas, físicas y matemáticas;Total;2021;797,4
Ambos sexos;05 Ciencias naturales, químicas, físicas y matemáticas;Total;2020;778,3
Ambos sexos;05 Ciencias naturales, químicas, físicas y matemáticas;Total;2019;746,4
Ambos sexos;05 Ciencias naturales, químicas, físicas y matemáticas;Total;2018;777,9
Ambos sexos;05 Ciencias naturales, químicas, físicas y matemáticas;Total;2017;718,3
Ambos sexos;05 Ciencias naturales, químicas, físicas y matemáticas;Total;2016;693,7
Ambos sexos;05 Ciencias naturales, químicas, físicas y matemáticas;De 16 a 24 años;2022;52,4
Ambos sexos;05 Ciencias naturales, químicas, físicas y matemáticas;De 16 a 24 años;2021;45,7
Ambos sexos;05 Ciencias naturales, químicas, físicas y matemáticas;De 16 a 24 años;2020;50,4
Ambos sexos;05 Ciencias naturales, químicas, físicas y matemáticas;De 16 a 24 años;2019;40
Ambos sexos;05 Ciencias naturales, químicas, físicas y matemáticas;De 16 a 24 años;2018;34
Ambos sexos;05 Ciencias naturales, químicas, físicas y matemáticas;De 16 a 24 años;2017;36,1
Ambos sexos;05 Ciencias naturales, químicas, físicas y matemáticas;De 16 a 24 años;2016;34,1
Ambos sexos;05 Ciencias naturales, químicas, físicas y matemáticas;De 25 a 34 años;2022;152,5
Ambos sexos;05 Ciencias naturales, químicas, físicas y matemáticas;De 25 a 34 años;2021;154,8
Ambos sexos;05 Ciencias naturales, químicas, físicas y matemáticas;De 25 a 34 años;2020;127
Ambos sexos;05 Ciencias naturales, químicas, físicas y matemáticas;De 25 a 34 años;2019;145,6
Ambos sexos;05 Ciencias naturales, químicas, físicas y matemáticas;De 25 a 34 años;2018;159,8
Ambos sexos;05 Ciencias naturales, químicas, físicas y matemáticas;De 25 a 34 años;2017;133,3
Ambos sexos;05 Ciencias naturales, químicas, físicas y matemáticas;De 25 a 34 años;2016;161,7
Ambos sexos;05 Ciencias naturales, químicas, físicas y matemáticas;De 35 a 44 años;2022;183,5
Ambos sexos;05 Ciencias naturales, químicas, físicas y matemáticas;De 35 a 44 años;2021;201,8
Ambos sexos;05 Ciencias naturales, químicas, físicas y matemáticas;De 35 a 44 años;2020;209,9
Ambos sexos;05 Ciencias naturales, químicas, físicas y matemáticas;De 35 a 44 años;2019;234
Ambos sexos;05 Ciencias naturales, químicas, físicas y matemáticas;De 35 a 44 años;2018;238,2
Ambos sexos;05 Ciencias naturales, químicas, físicas y matemáticas;De 35 a 44 años;2017;239,9
Ambos sexos;05 Ciencias naturales, químicas, físicas y matemáticas;De 35 a 44 años;2016;226,4
Ambos sexos;05 Ciencias naturales, químicas, físicas y matemáticas;De 45 a 54 años;2022;181,4
Ambos sexos;05 Ciencias naturales, químicas, físicas y matemáticas;De 45 a 54 años;2021;181,8
Ambos sexos;05 Ciencias naturales, químicas, físicas y matemáticas;De 45 a 54 años;2020;166,8
Ambos sexos;05 Ciencias naturales, químicas, físicas y matemáticas;De 45 a 54 años;2019;154,2
Ambos sexos;05 Ciencias naturales, químicas, físicas y matemáticas;De 45 a 54 años;2018;166,4
Ambos sexos;05 Ciencias naturales, químicas, físicas y matemáticas;De 45 a 54 años;2017;141,9
Ambos sexos;05 Ciencias naturales, químicas, físicas y matemáticas;De 45 a 54 años;2016;135,9
Ambos sexos;05 Ciencias naturales, químicas, físicas y matemáticas;55 y más años;2022;216,5
Ambos sexos;05 Ciencias naturales, químicas, físicas y matemáticas;55 y más años;2021;213,4
Ambos sexos;05 Ciencias naturales, químicas, físicas y matemáticas;55 y más años;2020;224,2
Ambos sexos;05 Ciencias naturales, químicas, físicas y matemáticas;55 y más años;2019;172,5
Ambos sexos;05 Ciencias naturales, químicas, físicas y matemáticas;55 y más años;2018;179,5
Ambos sexos;05 Ciencias naturales, químicas, físicas y matemáticas;55 y más años;2017;167,1
Ambos sexos;05 Ciencias naturales, químicas, físicas y matemáticas;55 y más años;2016;135,7
Ambos sexos;06 Tecnologías de la información y las comunicaciones (TIC);Total;2022;959,1
Ambos sexos;06 Tecnologías de la información y las comunicaciones (TIC);Total;2021;876,6
Ambos sexos;06 Tecnologías de la información y las comunicaciones (TIC);Total;2020;859,1
Ambos sexos;06 Tecnologías de la información y las comunicaciones (TIC);Total;2019;826
Ambos sexos;06 Tecnologías de la información y las comunicaciones (TIC);Total;2018;789,2
Ambos sexos;06 Tecnologías de la información y las comunicaciones (TIC);Total;2017;717,1
Ambos sexos;06 Tecnologías de la información y las comunicaciones (TIC);Total;2016;705,5
Ambos sexos;06 Tecnologías de la información y las comunicaciones (TIC);De 16 a 24 años;2022;116
Ambos sexos;06 Tecnologías de la información y las comunicaciones (TIC);De 16 a 24 años;2021;102,7
Ambos sexos;06 Tecnologías de la información y las comunicaciones (TIC);De 16 a 24 años;2020;91,3
Ambos sexos;06 Tecnologías de la información y las comunicaciones (TIC);De 16 a 24 años;2019;84,3
Ambos sexos;06 Tecnologías de la información y las comunicaciones (TIC);De 16 a 24 años;2018;80,8
Ambos sexos;06 Tecnologías de la información y las comunicaciones (TIC);De 16 a 24 años;2017;66,7
Ambos sexos;06 Tecnologías de la información y las comunicaciones (TIC);De 16 a 24 años;2016;70,9
Ambos sexos;06 Tecnologías de la información y las comunicaciones (TIC);De 25 a 34 años;2022;260,3
Ambos sexos;06 Tecnologías de la información y las comunicaciones (TIC);De 25 a 34 años;2021;216,3
Ambos sexos;06 Tecnologías de la información y las comunicaciones (TIC);De 25 a 34 años;2020;234,8
Ambos sexos;06 Tecnologías de la información y las comunicaciones (TIC);De 25 a 34 años;2019;253
Ambos sexos;06 Tecnologías de la información y las comunicaciones (TIC);De 25 a 34 años;2018;226,1
Ambos sexos;06 Tecnologías de la información y las comunicaciones (TIC);De 25 a 34 años;2017;219,8
Ambos sexos;06 Tecnologías de la información y las comunicaciones (TIC);De 25 a 34 años;2016;236,9
Ambos sexos;06 Tecnologías de la información y las comunicaciones (TIC);De 35 a 44 años;2022;278
Ambos sexos;06 Tecnologías de la información y las comunicaciones (TIC);De 35 a 44 años;2021;284,4
Ambos sexos;06 Tecnologías de la información y las comunicaciones (TIC);De 35 a 44 años;2020;266,7
Ambos sexos;06 Tecnologías de la información y las comunicaciones (TIC);De 35 a 44 años;2019;259,8
Ambos sexos;06 Tecnologías de la información y las comunicaciones (TIC);De 35 a 44 años;2018;295,9
Ambos sexos;06 Tecnologías de la información y las comunicaciones (TIC);De 35 a 44 años;2017;262,7
Ambos sexos;06 Tecnologías de la información y las comunicaciones (TIC);De 35 a 44 años;2016;256,6
Ambos sexos;06 Tecnologías de la información y las comunicaciones (TIC);De 45 a 54 años;2022;210,8
Ambos sexos;06 Tecnologías de la información y las comunicaciones (TIC);De 45 a 54 años;2021;185
Ambos sexos;06 Tecnologías de la información y las comunicaciones (TIC);De 45 a 54 años;2020;184,5
Ambos sexos;06 Tecnologías de la información y las comunicaciones (TIC);De 45 a 54 años;2019;164,8
Ambos sexos;06 Tecnologías de la información y las comunicaciones (TIC);De 45 a 54 años;2018;130,6
Ambos sexos;06 Tecnologías de la información y las comunicaciones (TIC);De 45 a 54 años;2017;120,4
Ambos sexos;06 Tecnologías de la información y las comunicaciones (TIC);De 45 a 54 años;2016;112,3
Ambos sexos;06 Tecnologías de la información y las comunicaciones (TIC);55 y más años;2022;94,1
Ambos sexos;06 Tecnologías de la información y las comunicaciones (TIC);55 y más años;2021;88,1
Ambos sexos;06 Tecnologías de la información y las comunicaciones (TIC);55 y más años;2020;81,9
Ambos sexos;06 Tecnologías de la información y las comunicaciones (TIC);55 y más años;2019;64,2
Ambos sexos;06 Tecnologías de la información y las comunicaciones (TIC);55 y más años;2018;55,8
Ambos sexos;06 Tecnologías de la información y las comunicaciones (TIC);55 y más años;2017;47,6
Ambos sexos;06 Tecnologías de la información y las comunicaciones (TIC);55 y más años;2016;28,7
Ambos sexos;07 Mecánica, electrónica y otra formación técnica, industria y construcción;Total;2022;3.213,6
Ambos sexos;07 Mecánica, electrónica y otra formación técnica, industria y construcción;Total;2021;3.170,1
Ambos sexos;07 Mecánica, electrónica y otra formación técnica, industria y construcción;Total;2020;3.136,7
Ambos sexos;07 Mecánica, electrónica y otra formación técnica, industria y construcción;Total;2019;3.035,7
Ambos sexos;07 Mecánica, electrónica y otra formación técnica, industria y construcción;Total;2018;2.959
Ambos sexos;07 Mecánica, electrónica y otra formación técnica, industria y construcción;Total;2017;2.952,6
Ambos sexos;07 Mecánica, electrónica y otra formación técnica, industria y construcción;Total;2016;2.913,5
Ambos sexos;07 Mecánica, electrónica y otra formación técnica, industria y construcción;De 16 a 24 años;2022;186,7
Ambos sexos;07 Mecánica, electrónica y otra formación técnica, industria y construcción;De 16 a 24 años;2021;162,1
