Sexo;Comunidades y Ciudades Autónomas;Rama de actividad - CNAE 2009;Periodo;Total
Ambos sexos;Total Nacional;F Construcción ( F );2019;1.277,9
Ambos sexos;Total Nacional;F Construcción ( F );2018;1.221,8
Ambos sexos;Total Nacional;F Construcción ( F );2017;1.128,3
Ambos sexos;Total Nacional;F Construcción ( F );2016;1.073,8
Ambos sexos;Total Nacional;F Construcción ( F );2015;1.073,7
Ambos sexos;Total Nacional;F Construcción ( F );2014;993,5
Ambos sexos;Total Nacional;F Construcción ( F );2013;1.029,5
Ambos sexos;Total Nacional;F Construcción ( F );2012;1.161,3
Ambos sexos;Total Nacional;F Construcción ( F );2011;1.403,9
Ambos sexos;Total Nacional;F Construcción ( F );2010;1.651,4
Ambos sexos;Total Nacional;F Construcción ( F );2009;1.889,8
Ambos sexos;Total Nacional;F Construcción ( F );2008;2.459,9
Ambos sexos;Total Nacional;Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería ( G + H + I );2023;5.997,5
Ambos sexos;Total Nacional;Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería ( G + H + I );2022;5.725,6
Ambos sexos;Total Nacional;Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería ( G + H + I );2021;5.446,8
Ambos sexos;Total Nacional;Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería ( G + H + I );2020;5.412,8
Ambos sexos;Total Nacional;Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería ( G + H + I );2019;5.819,9
Ambos sexos;Total Nacional;Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería ( G + H + I );2018;5.695,8
Ambos sexos;Total Nacional;Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería ( G + H + I );2017;5.567,4
Ambos sexos;Total Nacional;Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería ( G + H + I );2016;5.505,1
Ambos sexos;Total Nacional;Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería ( G + H + I );2015;5.297,1
Ambos sexos;Total Nacional;Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería ( G + H + I );2014;5.123,4
Ambos sexos;Total Nacional;Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería ( G + H + I );2013;5.010,8
Ambos sexos;Total Nacional;Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería ( G + H + I );2012;5.049,7
Ambos sexos;Total Nacional;Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería ( G + H + I );2011;5.262,8
Ambos sexos;Total Nacional;Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería ( G + H + I );2010;5.245,7
Ambos sexos;Total Nacional;Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería ( G + H + I );2009;5.337,5
Ambos sexos;Total Nacional;Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería ( G + H + I );2008;5.649
Ambos sexos;Total Nacional;J Información y comunicaciones ( J );2023;753,1
Ambos sexos;Total Nacional;J Información y comunicaciones ( J );2022;740
Ambos sexos;Total Nacional;J Información y comunicaciones ( J );2021;670,8
Ambos sexos;Total Nacional;J Información y comunicaciones ( J );2020;613
Ambos sexos;Total Nacional;J Información y comunicaciones ( J );2019;602,6
Ambos sexos;Total Nacional;J Información y comunicaciones ( J );2018;584,9
Ambos sexos;Total Nacional;J Información y comunicaciones ( J );2017;584,8
Ambos sexos;Total Nacional;J Información y comunicaciones ( J );2016;545,6
Ambos sexos;Total Nacional;J Información y comunicaciones ( J );2015;530,3
Ambos sexos;Total Nacional;J Información y comunicaciones ( J );2014;515,6
Ambos sexos;Total Nacional;J Información y comunicaciones ( J );2013;522,9
Ambos sexos;Total Nacional;J Información y comunicaciones ( J );2012;534,7
Ambos sexos;Total Nacional;J Información y comunicaciones ( J );2011;533,3
Ambos sexos;Total Nacional;J Información y comunicaciones ( J );2010;527,7
Ambos sexos;Total Nacional;J Información y comunicaciones ( J );2009;533,3
Ambos sexos;Total Nacional;J Información y comunicaciones ( J );2008;575,2
Ambos sexos;Total Nacional;K Actividades financieras y de seguros (  K  );2023;477,7
Ambos sexos;Total Nacional;K Actividades financieras y de seguros (  K  );2022;473,1
Ambos sexos;Total Nacional;K Actividades financieras y de seguros (  K  );2021;487,4
Ambos sexos;Total Nacional;K Actividades financieras y de seguros (  K  );2020;444,9
Ambos sexos;Total Nacional;K Actividades financieras y de seguros (  K  );2019;429,2
Ambos sexos;Total Nacional;K Actividades financieras y de seguros (  K  );2018;434,6
Ambos sexos;Total Nacional;K Actividades financieras y de seguros (  K  );2017;446,3
Ambos sexos;Total Nacional;K Actividades financieras y de seguros (  K  );2016;457,9
Ambos sexos;Total Nacional;K Actividades financieras y de seguros (  K  );2015;454,1
Ambos sexos;Total Nacional;K Actividades financieras y de seguros (  K  );2014;452,7
Ambos sexos;Total Nacional;K Actividades financieras y de seguros (  K  );2013;454,1
Ambos sexos;Total Nacional;K Actividades financieras y de seguros (  K  );2012;435,7
Ambos sexos;Total Nacional;K Actividades financieras y de seguros (  K  );2011;464,6
Ambos sexos;Total Nacional;K Actividades financieras y de seguros (  K  );2010;476,7
Ambos sexos;Total Nacional;K Actividades financieras y de seguros (  K  );2009;487,5
Ambos sexos;Total Nacional;K Actividades financieras y de seguros (  K  );2008;515,1
Ambos sexos;Total Nacional;L Actividades inmobiliarias ( L );2023;178,4
Ambos sexos;Total Nacional;L Actividades inmobiliarias ( L );2022;164,1
Ambos sexos;Total Nacional;L Actividades inmobiliarias ( L );2021;153,9
Ambos sexos;Total Nacional;L Actividades inmobiliarias ( L );2020;151,9
Ambos sexos;Total Nacional;L Actividades inmobiliarias ( L );2019;154,3
Ambos sexos;Total Nacional;L Actividades inmobiliarias ( L );2018;149,6
Ambos sexos;Total Nacional;L Actividades inmobiliarias ( L );2017;129,6
Ambos sexos;Total Nacional;L Actividades inmobiliarias ( L );2016;114,1
Ambos sexos;Total Nacional;L Actividades inmobiliarias ( L );2015;104,1
Ambos sexos;Total Nacional;L Actividades inmobiliarias ( L );2014;99,5
Ambos sexos;Total Nacional;L Actividades inmobiliarias ( L );2013;92,1
Ambos sexos;Total Nacional;L Actividades inmobiliarias ( L );2012;97,2
Ambos sexos;Total Nacional;L Actividades inmobiliarias ( L );2011;96,3
Ambos sexos;Total Nacional;L Actividades inmobiliarias ( L );2010;84,3
Ambos sexos;Total Nacional;L Actividades inmobiliarias ( L );2009;91,9
Ambos sexos;Total Nacional;L Actividades inmobiliarias ( L );2008;119,2
Ambos sexos;Total Nacional;Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares ( M + N );2023;2.276,1
Ambos sexos;Total Nacional;Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares ( M + N );2022;2.158,2
Ambos sexos;Total Nacional;Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares ( M + N );2021;2.138,4
Ambos sexos;Total Nacional;Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares ( M + N );2020;2.037,5
Ambos sexos;Total Nacional;Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares ( M + N );2019;2.052,9
Ambos sexos;Total Nacional;Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares ( M + N );2018;1.964,9
Ambos sexos;Total Nacional;Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares ( M + N );2017;1.912,2
Ambos sexos;Total Nacional;Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares ( M + N );2016;1.864,4
Ambos sexos;Total Nacional;Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares ( M + N );2015;1.818,5
Ambos sexos;Total Nacional;Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares ( M + N );2014;1.750,8
Ambos sexos;Total Nacional;Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares ( M + N );2013;1.719,4
Ambos sexos;Total Nacional;Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares ( M + N );2012;1.752,7
Ambos sexos;Total Nacional;Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares ( M + N );2011;1.767,7
Ambos sexos;Total Nacional;Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares ( M + N );2010;1.785,2
Ambos sexos;Total Nacional;Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares ( M + N );2009;1.793,4
Ambos sexos;Total Nacional;Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares ( M + N );2008;1.839,4
Ambos sexos;Total Nacional;Administración Pública y defensa, Seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales ( O + P + Q );2023;4.919,7
Ambos sexos;Total Nacional;Administración Pública y defensa, Seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales ( O + P + Q );2022;4.802,4
Ambos sexos;Total Nacional;Administración Pública y defensa, Seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales ( O + P + Q );2021;4.678,2
Ambos sexos;Total Nacional;Administración Pública y defensa, Seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales ( O + P + Q );2020;4.448,2
Ambos sexos;Total Nacional;Administración Pública y defensa, Seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales ( O + P + Q );2019;4.400,9
Ambos sexos;Total Nacional;Administración Pública y defensa, Seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales ( O + P + Q );2018;4.281,8
Ambos sexos;Total Nacional;Administración Pública y defensa, Seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales ( O + P + Q );2017;4.115,8
Ambos sexos;Total Nacional;Administración Pública y defensa, Seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales ( O + P + Q );2016;4.044,9
Ambos sexos;Total Nacional;Administración Pública y defensa, Seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales ( O + P + Q );2015;3.949,5
Ambos sexos;Total Nacional;Administración Pública y defensa, Seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales ( O + P + Q );2014;3.877,2
Ambos sexos;Total Nacional;Administración Pública y defensa, Seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales ( O + P + Q );2013;3.806,6
Ambos sexos;Total Nacional;Administración Pública y defensa, Seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales ( O + P + Q );2012;3.975,3
Ambos sexos;Total Nacional;Administración Pública y defensa, Seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales ( O + P + Q );2011;4.121,4
Ambos sexos;Total Nacional;Administración Pública y defensa, Seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales ( O + P + Q );2010;4.047,4
Ambos sexos;Total Nacional;Administración Pública y defensa, Seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales ( O + P + Q );2009;3.920,5
Ambos sexos;Total Nacional;Administración Pública y defensa, Seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales ( O + P + Q );2008;3.751,1
Ambos sexos;Total Nacional;Activ. artísticas, recreativas y de entretenimiento, hogares como empleadores domésticos y como productores de bienes y servicios para uso propio, activ. de organizaciones y organismos extraterritoriales, otros servicios ( R + S + T + U );2023;1.506,5
Ambos sexos;Total Nacional;Activ. artísticas, recreativas y de entretenimiento, hogares como empleadores domésticos y como productores de bienes y servicios para uso propio, activ. de organizaciones y organismos extraterritoriales, otros servicios ( R + S + T + U );2022;1.460
Ambos sexos;Total Nacional;Activ. artísticas, recreativas y de entretenimiento, hogares como empleadores domésticos y como productores de bienes y servicios para uso propio, activ. de organizaciones y organismos extraterritoriales, otros servicios ( R + S + T + U );2021;1.403,8
Ambos sexos;Total Nacional;Activ. artísticas, recreativas y de entretenimiento, hogares como empleadores domésticos y como productores de bienes y servicios para uso propio, activ. de organizaciones y organismos extraterritoriales, otros servicios ( R + S + T + U );2020;1.386,5
Ambos sexos;Total Nacional;Activ. artísticas, recreativas y de entretenimiento, hogares como empleadores domésticos y como productores de bienes y servicios para uso propio, activ. de organizaciones y organismos extraterritoriales, otros servicios ( R + S + T + U );2019;1.481,2
Ambos sexos;Total Nacional;Activ. artísticas, recreativas y de entretenimiento, hogares como empleadores domésticos y como productores de bienes y servicios para uso propio, activ. de organizaciones y organismos extraterritoriales, otros servicios ( R + S + T + U );2018;1.473,5
Ambos sexos;Total Nacional;Activ. artísticas, recreativas y de entretenimiento, hogares como empleadores domésticos y como productores de bienes y servicios para uso propio, activ. de organizaciones y organismos extraterritoriales, otros servicios ( R + S + T + U );2017;1.473,5
Ambos sexos;Total Nacional;Activ. artísticas, recreativas y de entretenimiento, hogares como empleadores domésticos y como productores de bienes y servicios para uso propio, activ. de organizaciones y organismos extraterritoriales, otros servicios ( R + S + T + U );2016;1.439
Ambos sexos;Total Nacional;Activ. artísticas, recreativas y de entretenimiento, hogares como empleadores domésticos y como productores de bienes y servicios para uso propio, activ. de organizaciones y organismos extraterritoriales, otros servicios ( R + S + T + U );2015;1.419,7
Ambos sexos;Total Nacional;Activ. artísticas, recreativas y de entretenimiento, hogares como empleadores domésticos y como productores de bienes y servicios para uso propio, activ. de organizaciones y organismos extraterritoriales, otros servicios ( R + S + T + U );2014;1.415,8
Ambos sexos;Total Nacional;Activ. artísticas, recreativas y de entretenimiento, hogares como empleadores domésticos y como productores de bienes y servicios para uso propio, activ. de organizaciones y organismos extraterritoriales, otros servicios ( R + S + T + U );2013;1.411,6
Ambos sexos;Total Nacional;Activ. artísticas, recreativas y de entretenimiento, hogares como empleadores domésticos y como productores de bienes y servicios para uso propio, activ. de organizaciones y organismos extraterritoriales, otros servicios ( R + S + T + U );2012;1.398,9
Ambos sexos;Total Nacional;Activ. artísticas, recreativas y de entretenimiento, hogares como empleadores domésticos y como productores de bienes y servicios para uso propio, activ. de organizaciones y organismos extraterritoriales, otros servicios ( R + S + T + U );2011;1.411,6
Ambos sexos;Total Nacional;Activ. artísticas, recreativas y de entretenimiento, hogares como empleadores domésticos y como productores de bienes y servicios para uso propio, activ. de organizaciones y organismos extraterritoriales, otros servicios ( R + S + T + U );2010;1.469,6
Ambos sexos;Total Nacional;Activ. artísticas, recreativas y de entretenimiento, hogares como empleadores domésticos y como productores de bienes y servicios para uso propio, activ. de organizaciones y organismos extraterritoriales, otros servicios ( R + S + T + U );2009;1.457,3
Ambos sexos;Total Nacional;Activ. artísticas, recreativas y de entretenimiento, hogares como empleadores domésticos y como productores de bienes y servicios para uso propio, activ. de organizaciones y organismos extraterritoriales, otros servicios ( R + S + T + U );2008;1.496
Ambos sexos;01 Andalucía;Total;2023;3.369
Ambos sexos;01 Andalucía;Total;2022;3.259,5
Ambos sexos;01 Andalucía;Total;2021;3.151,1
Ambos sexos;01 Andalucía;Total;2020;3.021,1
Ambos sexos;01 Andalucía;Total;2019;3.119,7
Ambos sexos;01 Andalucía;Total;2018;3.030,8
Ambos sexos;01 Andalucía;Total;2017;2.948,6
Ambos sexos;01 Andalucía;Total;2016;2.833,4
Ambos sexos;01 Andalucía;Total;2015;2.767,4
Ambos sexos;01 Andalucía;Total;2014;2.634
Ambos sexos;01 Andalucía;Total;2013;2.571,5
Ambos sexos;01 Andalucía;Total;2012;2.655,5
Ambos sexos;01 Andalucía;Total;2011;2.797,9
Ambos sexos;01 Andalucía;Total;2010;2.873,9
Ambos sexos;01 Andalucía;Total;2009;2.932,2
Ambos sexos;01 Andalucía;Total;2008;3.160,7
Ambos sexos;01 Andalucía;A Agricultura ( A );2023;237,4
Ambos sexos;01 Andalucía;A Agricultura ( A );2022;241,7
Ambos sexos;01 Andalucía;A Agricultura ( A );2021;274,5
Ambos sexos;01 Andalucía;A Agricultura ( A );2020;264,8
Ambos sexos;01 Andalucía;A Agricultura ( A );2019;255,4
Ambos sexos;01 Andalucía;A Agricultura ( A );2018;250,9
Ambos sexos;01 Andalucía;A Agricultura ( A );2017;263,1
Ambos sexos;01 Andalucía;A Agricultura ( A );2016;246
Ambos sexos;01 Andalucía;A Agricultura ( A );2015;218,9
Ambos sexos;01 Andalucía;A Agricultura ( A );2014;220,9
Ambos sexos;01 Andalucía;A Agricultura ( A );2013;195,4
Ambos sexos;01 Andalucía;A Agricultura ( A );2012;201,8
Ambos sexos;01 Andalucía;A Agricultura ( A );2011;214,8
Ambos sexos;01 Andalucía;A Agricultura ( A );2010;224,7
Ambos sexos;01 Andalucía;A Agricultura ( A );2009;216,8
Ambos sexos;01 Andalucía;A Agricultura ( A );2008;219,9
Ambos sexos;01 Andalucía;Industria general;2023;301,5
Ambos sexos;01 Andalucía;Industria general;2022;297,9
Ambos sexos;01 Andalucía;Industria general;2021;292,6
Ambos sexos;01 Andalucía;Industria general;2020;299,4
Ambos sexos;01 Andalucía;Industria general;2019;293,8
Ambos sexos;01 Andalucía;Industria general;2018;278,3
Ambos sexos;01 Andalucía;Industria general;2017;264
Ambos sexos;01 Andalucía;Industria general;2016;250,6
Ambos sexos;01 Andalucía;Industria general;2015;228,7
Ambos sexos;01 Andalucía;Industria general;2014;223,6
Ambos sexos;01 Andalucía;Industria general;2013;220,4
Ambos sexos;01 Andalucía;Industria general;2012;238,2
Ambos sexos;01 Andalucía;Industria general;2011;253,8
Ambos sexos;01 Andalucía;Industria general;2010;260,8
Ambos sexos;01 Andalucía;Industria general;2009;277,1
Ambos sexos;01 Andalucía;Industria general;2008;318,3
Ambos sexos;01 Andalucía;B_E Industrias extractivas, suministro de energía eléctrica, gas, vapor y  aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación  ( B + D + E );2023;51,2
Ambos sexos;01 Andalucía;B_E Industrias extractivas, suministro de energía eléctrica, gas, vapor y  aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación  ( B + D + E );2022;52,7
Ambos sexos;01 Andalucía;B_E Industrias extractivas, suministro de energía eléctrica, gas, vapor y  aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación  ( B + D + E );2021;48,1
Ambos sexos;01 Andalucía;B_E Industrias extractivas, suministro de energía eléctrica, gas, vapor y  aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación  ( B + D + E );2020;44,9
Ambos sexos;01 Andalucía;B_E Industrias extractivas, suministro de energía eléctrica, gas, vapor y  aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación  ( B + D + E );2019;40
Ambos sexos;01 Andalucía;B_E Industrias extractivas, suministro de energía eléctrica, gas, vapor y  aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación  ( B + D + E );2018;35,4
Ambos sexos;01 Andalucía;B_E Industrias extractivas, suministro de energía eléctrica, gas, vapor y  aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación  ( B + D + E );2017;38,7
Ambos sexos;01 Andalucía;B_E Industrias extractivas, suministro de energía eléctrica, gas, vapor y  aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación  ( B + D + E );2016;37,8
Ambos sexos;01 Andalucía;B_E Industrias extractivas, suministro de energía eléctrica, gas, vapor y  aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación  ( B + D + E );2015;36
Ambos sexos;01 Andalucía;B_E Industrias extractivas, suministro de energía eléctrica, gas, vapor y  aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación  ( B + D + E );2014;31,8
Ambos sexos;01 Andalucía;B_E Industrias extractivas, suministro de energía eléctrica, gas, vapor y  aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación  ( B + D + E );2013;33
Ambos sexos;01 Andalucía;B_E Industrias extractivas, suministro de energía eléctrica, gas, vapor y  aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación  ( B + D + E );2012;39,3
